Group,IsPFAS(haveCF2),Compound name,Code,Solvent_used_for_NMR,SMILES,Internal Standard,FluorineInConjSystem,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
Per- and polyfluorinated carboxylic acids,True,perfluoropropionic acid,COOH_1,CDCl3,O=C(O)C(F)(F)C(F)(F)F,,0.0,,,,,-122.45,-122.45,,-83.4,-83.4,-83.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per- and polyfluorinated carboxylic acids,True,perfluorobutanoic acid,COOH_2,CDCl3,O=C(O)C(F)(F)C(F)(F)C(F)(F)F,,0.0,,,,,-119.78,-119.78,,-127.39,-127.39,,-81.14,-81.14,-81.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per- and polyfluorinated carboxylic acids,True,perfluoropentanoic acid,COOH_3,CDCl3,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,0.0,,,,,-119.41,-119.41,,-123.99,-123.99,,-126.26,-126.26,,-81.19,-81.19,-81.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per- and polyfluorinated carboxylic acids,True,perfluorohexanoic acid,COOH_4,CDCl3,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,0.0,,,,,-119.23,-119.23,,-122.87,-122.87,,-123.25,-123.25,,-126.44,-126.44,,-81.06,-81.06,-81.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per- and polyfluorinated carboxylic acids,True,perfluoroheptanoic acid,COOH_5,CDCl3,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,0.0,,,,,-119.14,-119.14,,-122.01,-122.01,,-122.99,-122.99,,-122.99,-122.99,,-126.29,-126.29,,-80.96,-80.96,-80.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per- and polyfluorinated carboxylic acids,True,perfluorooctanoic acid,COOH_6,CDCl3,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,0.0,,,,,-119.16,-119.16,,-121.84,-121.84,,-122.19,-122.19,,-122.88,-122.88,,-123,-123.0,,-126.27,-126.27,,-80.95,-80.95,-80.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per- and polyfluorinated carboxylic acids,True,perfluorononanoic acid,COOH_7,CDCl3,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,0.0,,,,,-119.15,-119.15,,-121.81,-121.81,,-122.04,-122.04,,-122.04,-122.04,,-122.85,-122.85,,-122.98,-122.98,,-126.26,-126.26,,-80.95,-80.95,-80.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per- and polyfluorinated carboxylic acids,True,perfluorododecanoic acid,COOH_8,CD3OD,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,0.0,,,,,-119.17,-119.17,,-121.89,-121.89,,-121.89,-121.89,,-121.89,-121.89,,-121.89,-121.89,,-121.89,-121.89,,-122.83,-122.83,,-122.83,-122.83,,-122.99,-122.99,,-126.26,-126.26,,-80.97,-80.97,-80.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per- and polyfluorinated carboxylic acids,True,perfluorotetradecanoic acid,COOH_9,CD3OD,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,0.0,,,,,-119.15,-119.15,,-121.74,-121.74,,-121.74,-121.74,,-121.74,-121.74,,-121.74,-121.74,,-121.74,-121.74,,-121.74,-121.74,,-121.74,-121.74,,-121.74,-121.74,,-122.81,-122.81,,-122.98,-122.98,,-126.22,-126.22,,-80.93,-80.93,-80.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per- and polyfluorinated carboxylic acids,True,Octafluoroadipic acid,COOH_10,CD3OD,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O,,0.0,,,,,-119.44,-119.44,,-123.04,-123.04,,-123.04,-123.04,,-119.44,-119.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per- and polyfluorinated carboxylic acids,True,"2,2,3,3,4,4,5,5,6,6,7,7-dodecafluorooctanedioic Acid",COOH_11,CD3OD,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O,,0.0,,,,,-119.24,-119.24,,-121.93,-121.93,,-123.11,-123.11,,-123.11,-123.11,,-121.93,-121.93,,-119.24,-119.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per- and polyfluorinated carboxylic acids,True,"2,2,3,3,4,4,5,5,6,6,7,7,8,8-tetradecafluorononanedioic acid",COOH_12,CD3OD,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O,,0.0,,,,,-119.21,-119.21,,-121.86,-121.86,,-122.11,-122.11,,-123.0,-123.0,,-122.11,-122.11,,-121.86,-121.86,,-119.21,-119.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per- and polyfluorinated carboxylic acids,True,4:2 fluorotelomer carboxylic acid,COOH_13,CDCl3,O=C(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,0.0,,,,,,-112.44,-112.44,,-124.14,-124.14,,-126.12,-126.12,,-81.23,-81.23,-81.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per- and polyfluorinated carboxylic acids,True,6:2 fluorotelomer carboxylic acid,COOH_14,CDCl3,O=C(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,0.0,,,,,,-112.18,-112.18,,-121.95,-121.95,,-122.97,-122.97,,-123.17,-123.17,,-126.27,-126.27,,-80.97,-80.97,-80.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per- and polyfluorinated carboxylic acids,True,8:2 fluorotelomer carboxylic acid,COOH_15,CDCl3,O=C(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,0.0,,,,,,-112.16,-112.16,,-121.73,-121.73,,-122.0,-122.0,,-122.0,-122.0,,-122.82,-122.82,,-123.11,-123.11,,-126.23,-126.23,,-80.93,-80.93,-80.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per- and polyfluorinated carboxylic acids,True,(E)-4:2 Fluorotelomer unsaturated carboxylic acid,COOH_16,CDCl3,O=C(O)C=C(F)C(F)(F)C(F)(F)C(F)(F)F,,1.0,,,,,,-109.19,,-119.93,-119.93,,-127.28,-127.28,,-80.91,-80.91,-80.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per- and polyfluorinated carboxylic acids,True,(Z)-6:2 Fluorotelomer unsaturated carboxylic acid,COOH_17,CDCl3,O=C(O)C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,1.0,,,,,,-109.08,,-118.89,-118.89,,-122.91,-122.91,,-123.05,-123.05,,-126.33,-126.33,,-80.96,-80.96,-80.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per- and polyfluorinated carboxylic acids,True,(Z)-8:2 Fluorotelomer unsaturated carboxylic acid,COOH_18,CDCl3,O=C(O)/C=C(\F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,1.0,,,,,,-109.02,,-118.82,-118.82,,-121.9,-121.9,,-122.09,-122.09,,-122.82,-122.82,,-122.82,-122.82,,-126.24,-126.24,,-80.93,-80.93,-80.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per- and polyfluorinated carboxylic acids,True,"(Z)-3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-Icosafluoro-2-dodecenoic acid",COOH_19,CDCl3,O=C(O)/C=C(\F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,1.0,,,,,,-108.98,,-118.82,-118.82,,-121.88,-121.88,,-121.88,-121.88,,-121.88,-121.88,,-121.88,-121.88,,-122.79,-122.79,,-122.79,-122.79,,-126.24,-126.24,,-80.95,-80.95,-80.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per- and polyfluorinated carboxylic acids,True,7H-perfluoroheptanoic acid,COOH_20,CDCl3,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,,0.0,,,,,-119.21,-119.21,,-122.09,-122.09,,-123.12,-123.12,,-123.67,-123.67,,-129.73,-129.73,,-137.39,-137.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per- and polyfluorinated carboxylic acids,True,8H-perfluorooctanoic acid,COOH_21,CDCl3,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,,0.0,,,,,-119.17,-119.17,,-121.9,-121.9,,-122.24,-122.24,,-123.02,-123.02,,-123.52,-123.52,,-129.59,-129.59,,-137.31,-137.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per- and polyfluorinated carboxylic acids,True,9H-perfluorononanoic acid,COOH_22,CDCl3,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,,0.0,,,,,-119.17,-119.17,,-121.82,-121.82,,-122.1,-122.1,,-122.1,-122.1,,-123,-123.0,,-123.48,-123.48,,-129.49,-129.49,,-137.3,-137.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per- and polyfluorinated acrylates,True,"3,3,4,4,5,5,6,6,6-Nonafluorohexyl methacrylate",acrylates_1,CDCl3,C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,1.0,,,,,,,,,,-113.89,-113.89,,-124.56,-124.56,,-126.06,-126.06,,-81.2,-81.2,-81.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per- and polyfluorinated acrylates,True,6:2 fluorotelomer acrylate,acrylates_2,CDCl3,C=CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,1.0,,,,,,,,,-113.67,-113.67,,-121.91,-121.91,,-122.91,-122.91,,-123.63,-123.63,,-126.23,-126.23,,-81.0,-81.0,-81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
