SMILES,AtomDegreeDescriptor-aNeg,AtomHybridizationDescriptor-aHyb,AtomHybridizationVSEPRDescriptor-hybr,AtomValenceDescriptor-val,BondsToAtomDescriptor-bondsToAtom,CovalentRadiusDescriptor-covalentRadius,DistanceToAtomDescriptor-distanceToAtom,EffectiveAtomPolarizabilityDescriptor-effAtomPol,IPAtomicHOSEDescriptor-ipAtomicHOSE,InductiveAtomicHardnessDescriptor-indAtomHardnesss,InductiveAtomicSoftnessDescriptor-indAtomSoftness,IsProtonInAromaticSystemDescriptor-protonInArmaticSystem,IsProtonInConjugatedPiSystemDescriptor-protonInConjSystem,PartialPiChargeDescriptor-pepe,PartialSigmaChargeDescriptor-partialSigmaCharge,PartialTChargeMMFF94Descriptor-partialTCMMFF94,PartialTChargePEOEDescriptor-pepeT,PeriodicTablePositionDescriptor-periodicTablePosition,PiElectronegativityDescriptor-elecPiA,ProtonAffinityHOSEDescriptor-protonAffiHOSE,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge1,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge2,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge3,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge4,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge5,RDFProtonDescriptor_G3R-g3r_1,RDFProtonDescriptor_G3R-g3r_2,RDFProtonDescriptor_G3R-g3r_3,RDFProtonDescriptor_G3R-g3r_4
O,1.0,2.0,2.0,6.0,0.0,0.73,0.0,3.6280966796875,0.0,1.2296282495105784,0.8132539248329924,0.0,0.0,-0.2820720867279553,-0.255420894348234,-0.5920000000000001,-0.5374929810761893,2.0,8.449748944879609,0.0,-0.255420894348234,0.0,0.0,0.0,0.0,0.0,13.57840858857459,0.0,1.55
C,3.0,2.0,2.0,4.0,1.0,0.77,1.2224506247697697,5.414193359375001,0.0,0.8215360672297407,1.2172320119456816,0.0,0.0,0.19479885892103094,0.3672885290249243,0.9530000000000001,0.5620873879459553,2.0,9.154305710461038,0.0,0.3672885290249243,0.0,0.0,0.0,0.0,0.0,12.416829394477766,0.0,1.7
O,1.0,3.0,3.0,6.0,2.0,0.73,2.221595275922237,4.0203466796875,0.0,1.358513546874379,0.7360986589355443,0.0,0.0,0.08727322780692426,-0.1431640353019417,-1.817,-0.05589080749501743,2.0,5.937296034820299,0.0,-0.1431640353019417,0.0,0.0,0.0,0.0,0.0,12.358810021894383,0.0,1.55
C,4.0,3.0,3.0,4.0,2.0,0.77,2.450864620904223,6.406136718749999,0.0,0.7272391443475206,1.3750634956499772,0.0,0.0,0.0,0.40132276713428117,0.7290000000000001,0.40132276713428117,2.0,0.0,0.0,0.40132276713428117,0.0,0.0,0.0,0.0,0.0,11.966935733522895,0.0,1.7
F,1.0,3.0,3.0,7.0,3.0,0.72,2.7888829412508516,3.8830683593749993,0.0,1.1618225005067186,0.860716675364661,0.0,0.0,0.0,-0.18739339618261694,-0.317,-0.18739339618261694,2.0,4.742188027327546,0.0,-0.18739339618261694,0.0,0.0,0.0,0.0,0.0,12.145720081065651,0.0,1.5
F,1.0,3.0,3.0,7.0,3.0,0.72,3.4554942960450674,3.8830683593749993,0.0,1.2778507968754924,0.7825639757357643,0.0,0.0,0.0,-0.18739339618261694,-0.317,-0.18739339618261694,2.0,4.742188027327546,0.0,-0.18739339618261694,0.0,0.0,0.0,0.0,0.0,12.145720081065651,0.0,1.5
C,4.0,3.0,3.0,4.0,3.0,0.77,3.360256551217481,6.735148437499999,0.0,0.661505316945754,1.5117036467932183,0.0,0.0,0.0,0.3875985986531412,0.634,0.3875985986531412,2.0,0.0,0.0,0.3875985986531412,0.0,0.0,0.0,0.0,0.0,11.82059256215025,0.0,1.7
F,1.0,3.0,3.0,7.0,4.0,0.72,3.9208264677233546,4.04757421875,0.0,1.0537761541993342,0.9489681428213816,0.0,0.0,0.0,-0.1916171380343157,-0.317,-0.1916171380343157,2.0,4.692739751546849,0.0,-0.1916171380343157,0.0,0.0,0.0,0.0,0.0,12.090919202954076,0.0,1.5
F,1.0,3.0,3.0,7.0,4.0,0.72,4.547466931160687,4.04757421875,0.0,1.0673015138729014,0.936942360712405,0.0,0.0,0.0,-0.1916171380343157,-0.317,-0.1916171380343157,2.0,4.692739751546849,0.0,-0.1916171380343157,0.0,0.0,0.0,0.0,0.0,12.090919202954076,0.0,1.5
C,4.0,3.0,3.0,4.0,4.0,0.77,3.3715045068930283,6.8837343749999995,0.0,0.6157409005928813,1.6240597287546195,0.0,0.0,0.0,0.38437005742196684,0.634,0.38437005742196684,2.0,0.0,0.0,0.38437005742196684,0.0,0.0,0.0,0.0,0.0,11.78626896829368,0.0,1.7
F,1.0,3.0,3.0,7.0,5.0,0.72,2.777917961351631,4.121867187499999,0.0,0.9159557696459738,1.091755773738409,0.0,0.0,0.0,-0.19199430059719166,-0.317,-0.19199430059719166,2.0,4.688334082825974,0.0,-0.19199430059719166,0.0,0.0,0.0,0.0,0.0,12.086029721205664,0.0,1.5
F,1.0,3.0,3.0,7.0,5.0,0.72,3.418409270406339,4.121867187499999,0.0,0.9034550782595666,1.1068618950334745,0.0,0.0,0.0,-0.19199430059719166,-0.317,-0.19199430059719166,2.0,4.688334082825974,0.0,-0.19199430059719166,0.0,0.0,0.0,0.0,0.0,12.086029721205664,0.0,1.5
C,4.0,3.0,3.0,4.0,5.0,0.77,4.841403454578022,6.926187499999998,0.0,0.6313901420338468,1.5838067993567013,0.0,0.0,0.0,0.3840466348259123,0.634,0.3840466348259123,2.0,0.0,0.0,0.3840466348259123,0.0,0.0,0.0,0.0,0.0,11.782832725017558,0.0,1.7
