SMILES,AtomDegreeDescriptor-aNeg,AtomHybridizationDescriptor-aHyb,AtomHybridizationVSEPRDescriptor-hybr,AtomValenceDescriptor-val,BondsToAtomDescriptor-bondsToAtom,CovalentRadiusDescriptor-covalentRadius,DistanceToAtomDescriptor-distanceToAtom,EffectiveAtomPolarizabilityDescriptor-effAtomPol,IPAtomicHOSEDescriptor-ipAtomicHOSE,InductiveAtomicHardnessDescriptor-indAtomHardnesss,InductiveAtomicSoftnessDescriptor-indAtomSoftness,IsProtonInAromaticSystemDescriptor-protonInArmaticSystem,IsProtonInConjugatedPiSystemDescriptor-protonInConjSystem,PartialPiChargeDescriptor-pepe,PartialSigmaChargeDescriptor-partialSigmaCharge,PartialTChargeMMFF94Descriptor-partialTCMMFF94,PartialTChargePEOEDescriptor-pepeT,PeriodicTablePositionDescriptor-periodicTablePosition,PiElectronegativityDescriptor-elecPiA,ProtonAffinityHOSEDescriptor-protonAffiHOSE,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge1,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge2,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge3,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge4,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge5,RDFProtonDescriptor_G3R-g3r_1,RDFProtonDescriptor_G3R-g3r_2,RDFProtonDescriptor_G3R-g3r_3,RDFProtonDescriptor_G3R-g3r_4
O,1.0,2.0,2.0,6.0,0.0,0.73,0.0,4.373499999999999,0.0,1.5783281531746916,0.6335818048918238,0.0,0.0,0.0,-0.2810977236204201,-0.5920000000000001,-0.2810977236204201,2.0,8.243140343839592,0.0,-0.2805531202822589,0.0,0.0,0.0,0.0,0.0,13.238166196358703,0.0,1.55
C,3.0,2.0,2.0,4.0,1.0,0.77,1.2358149295100782,6.904999999999999,0.0,0.9655916532432205,1.0356344699555025,0.0,0.0,0.0,0.3152414263955655,0.40200000000000014,0.3152414263955655,2.0,8.672656195733701,0.0,0.31449772921611396,0.0,0.0,0.0,0.0,0.0,11.87047115703414,0.0,1.7
C,4.0,3.0,3.0,4.0,2.0,0.77,2.4063387666743847,6.8767499999999995,0.0,0.9789089087120837,1.0215455095976858,0.0,0.0,0.0,0.4154927666920614,1.0330000000000001,0.4154927666920614,2.0,0.0,0.0,0.41565039629779,0.0,0.0,0.0,0.0,0.0,12.12046931166563,0.0,1.7
F,1.0,3.0,3.0,7.0,3.0,0.72,2.778807710151964,4.118375,0.0,1.7589874639428067,0.5685088839453576,0.0,0.0,0.0,-0.1727753137460571,-0.317,-0.1727753137460571,2.0,4.914889586827123,0.0,-0.17268639333814653,0.0,0.0,0.0,0.0,0.0,12.337179016192627,0.0,1.5
F,1.0,3.0,3.0,7.0,3.0,0.72,3.5054174473234996,4.118375,0.0,1.570666550489098,0.6366723730690036,0.0,0.0,0.0,-0.1727753137460571,-0.317,-0.1727753137460571,2.0,4.914889586827123,0.0,-0.17268639333814653,0.0,0.0,0.0,0.0,0.0,12.337179016192627,0.0,1.5
Cl,1.0,3.0,3.0,7.0,3.0,0.99,3.330782304504454,5.141874999999999,0.0,1.658685061637369,0.6028872045262476,0.0,0.0,0.0,-0.08701399058751991,-0.304,-0.08701399058751991,3.0,5.585328707927532,0.0,-0.08724991408842445,0.0,0.0,0.0,0.0,0.0,11.375721103114238,0.0,1.8
C,4.0,3.0,3.0,4.0,2.0,0.77,2.432757632810963,6.87675,0.0,0.9782332710258437,1.022251061805872,0.0,0.0,0.0,0.4154927666920614,1.0330000000000001,0.4154927666920614,2.0,0.0,0.0,0.41565039629779,0.0,0.0,0.0,0.0,0.0,12.12046931166563,0.0,1.7
F,1.0,3.0,3.0,7.0,3.0,0.72,3.4509368365706146,4.118375,0.0,1.5826197499345684,0.6318637183956183,0.0,0.0,0.0,-0.1727753137460571,-0.317,-0.1727753137460571,2.0,4.914889586827123,0.0,-0.17268639333814653,0.0,0.0,0.0,0.0,0.0,12.337179016192627,0.0,1.5
F,1.0,3.0,3.0,7.0,3.0,0.72,3.255996540231577,4.118375,0.0,1.6597468317901047,0.6025015266463616,0.0,0.0,0.0,-0.1727753137460571,-0.317,-0.1727753137460571,2.0,4.914889586827123,0.0,-0.17268639333814653,0.0,0.0,0.0,0.0,0.0,12.337179016192627,0.0,1.5
Cl,1.0,3.0,3.0,7.0,3.0,0.99,2.9446600245189596,5.141874999999999,0.0,1.748386362529407,0.5719559597532496,0.0,0.0,0.0,-0.08701399058751991,-0.304,-0.08701399058751991,3.0,5.585328707927532,0.0,-0.08724991408842445,0.0,0.0,0.0,0.0,0.0,11.375721103114238,0.0,1.8
