SMILES,AtomDegreeDescriptor-aNeg,AtomHybridizationDescriptor-aHyb,AtomHybridizationVSEPRDescriptor-hybr,AtomValenceDescriptor-val,BondsToAtomDescriptor-bondsToAtom,CovalentRadiusDescriptor-covalentRadius,DistanceToAtomDescriptor-distanceToAtom,EffectiveAtomPolarizabilityDescriptor-effAtomPol,IPAtomicHOSEDescriptor-ipAtomicHOSE,InductiveAtomicHardnessDescriptor-indAtomHardnesss,InductiveAtomicSoftnessDescriptor-indAtomSoftness,IsProtonInAromaticSystemDescriptor-protonInArmaticSystem,IsProtonInConjugatedPiSystemDescriptor-protonInConjSystem,PartialPiChargeDescriptor-pepe,PartialSigmaChargeDescriptor-partialSigmaCharge,PartialTChargeMMFF94Descriptor-partialTCMMFF94,PartialTChargePEOEDescriptor-pepeT,PeriodicTablePositionDescriptor-periodicTablePosition,PiElectronegativityDescriptor-elecPiA,ProtonAffinityHOSEDescriptor-protonAffiHOSE,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge1,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge2,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge3,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge4,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge5,RDFProtonDescriptor_G3R-g3r_1,RDFProtonDescriptor_G3R-g3r_2,RDFProtonDescriptor_G3R-g3r_3,RDFProtonDescriptor_G3R-g3r_4
C,1.0,3.0,3.0,4.0,0.0,0.77,0.0,5.1119628906250005,0.0,2.6894584289603136,0.37182206991263234,0.0,0.0,0.0,1.9548755923433512E-11,0.0,1.9548755923433512E-11,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.98,0.0,1.7
C,2.0,3.0,3.0,4.0,1.0,0.77,1.520916809033289,6.3544257812500025,0.0,1.8664239209447697,0.5357839603201225,0.0,0.0,0.0,1.0066065188580709E-8,0.0,1.0066065188580709E-8,2.0,0.0,0.0,5.189832662886568E-9,0.0,0.0,0.0,0.0,0.0,7.9800000476426645,0.0,1.7
C,2.0,3.0,3.0,4.0,2.0,0.77,2.554383949213587,6.953101562499999,0.0,1.5886154643255321,0.6294789535015406,0.0,0.0,0.0,1.6934288139894698E-6,0.0,1.6934288139894698E-6,2.0,0.0,0.0,1.3049287515910395E-6,0.0,0.0,0.0,0.0,0.0,7.980011979249141,0.0,1.7
C,2.0,3.0,3.0,4.0,3.0,0.77,3.148677109517583,7.207328125,0.0,1.5303401852270946,0.6534494811371664,0.0,0.0,0.0,1.1803128989903645E-4,0.0,1.1803128989903645E-4,2.0,0.0,0.0,1.0574195062457353E-4,0.0,0.0,0.0,0.0,0.0,7.980970732127691,0.0,1.7
C,2.0,3.0,3.0,4.0,4.0,0.77,4.545161953110143,7.244218750000002,0.0,1.4262831483347136,0.7011230562231424,0.0,0.0,0.0,0.0036272670558449224,0.0,0.0036272670558449224,2.0,0.0,0.0,0.003470309217017773,0.0,0.0,0.0,0.0,0.0,8.01188007953882,0.0,1.7
C,2.0,3.0,3.0,4.0,5.0,0.77,5.533244348481277,7.0822187500000044,0.0,1.2286205820136424,0.8139209245225685,0.0,0.0,0.0,0.04872910415079924,0.0,0.04872910415079924,2.0,0.0,0.0,0.04803664262816946,0.0,0.0,0.0,0.0,0.0,8.42531451511237,0.0,1.7
C,3.0,3.0,3.0,4.0,6.0,0.77,6.912595044554542,6.640328125000002,0.0,1.0422250110324458,0.959485705499797,0.0,0.0,0.0,0.26345033897747416,0.305,0.26345033897747416,2.0,0.0,0.0,0.2631950052735944,0.0,0.0,0.0,0.0,0.0,10.526360776717416,0.0,1.7
F,1.0,3.0,3.0,7.0,7.0,0.72,7.415101721487036,4.000164062500001,0.0,1.5246657878880416,0.6558814449330527,0.0,0.0,0.0,-0.22458674078733362,-0.317,-0.22458674078733362,2.0,4.313722452188425,0.0,-0.22411665690039262,0.0,0.0,0.0,0.0,0.0,11.672011619259044,0.0,1.5
P,4.0,3.0,3.0,5.0,7.0,1.06,8.289531217746877,6.898101562500001,0.0,0.7173336114065718,1.394051504207598,0.0,0.0,1.4806900260543432,0.35958676217642416,1.2730000000000001,1.8402767882307673,3.0,15.623539241105384,0.0,0.36043000127269065,0.0,0.0,0.0,0.0,0.0,12.104035072180329,0.0,1.95
O,1.0,2.0,2.0,6.0,8.0,0.73,9.633347388109701,3.67905078125,0.0,1.5493374369618114,0.6454371889192583,0.0,0.0,-1.5941098108651806,-0.24909969562003753,-0.6990000000000001,-1.843209506485218,2.0,8.502570402896097,0.0,-0.24844773333824743,0.0,0.0,0.0,0.0,0.0,13.672917107079996,0.0,1.55
O,2.0,3.0,3.0,6.0,8.0,0.73,8.139618029121515,5.48598828125,0.0,1.2394741056465852,0.8067937808820451,0.0,0.0,0.056709892405418544,-0.28938031869272063,-0.55,-0.23267042628730208,2.0,4.212372132695343,0.0,-0.2893395411691182,0.0,0.0,0.0,0.0,0.0,10.558100272511691,0.0,1.55
C,2.0,3.0,3.0,4.0,9.0,0.77,8.637488427778065,5.420869140625001,0.0,1.470177794229335,0.6801898409329454,0.0,0.0,0.0,0.1526996315205918,0.269,0.1526996315205918,2.0,0.0,0.0,0.1526941158812647,0.0,0.0,0.0,0.0,0.0,9.42556511067656,0.0,1.7
C,1.0,3.0,3.0,4.0,10.0,0.77,10.068607959891972,4.645184570312501,0.0,2.2562543680724234,0.44321243834502844,0.0,0.0,0.0,0.03576730179337967,0.0,0.03576730179337967,2.0,0.0,0.0,0.035308115176832994,0.0,0.0,0.0,0.0,0.0,8.306472223758329,0.0,1.7
O,2.0,3.0,3.0,6.0,8.0,0.73,8.370227077564861,5.48598828125,0.0,1.2162845865190508,0.8221760031194286,0.0,0.0,0.056709892405418544,-0.28938031869272063,-0.55,-0.23267042628730208,2.0,4.212372132695343,0.0,-0.2893395411691182,0.0,0.0,0.0,0.0,0.0,10.558100272511691,0.0,1.55
