SMILES,AtomDegreeDescriptor-aNeg,AtomHybridizationDescriptor-aHyb,AtomHybridizationVSEPRDescriptor-hybr,AtomValenceDescriptor-val,BondsToAtomDescriptor-bondsToAtom,CovalentRadiusDescriptor-covalentRadius,DistanceToAtomDescriptor-distanceToAtom,EffectiveAtomPolarizabilityDescriptor-effAtomPol,IPAtomicHOSEDescriptor-ipAtomicHOSE,InductiveAtomicHardnessDescriptor-indAtomHardnesss,InductiveAtomicSoftnessDescriptor-indAtomSoftness,IsProtonInAromaticSystemDescriptor-protonInArmaticSystem,IsProtonInConjugatedPiSystemDescriptor-protonInConjSystem,PartialPiChargeDescriptor-pepe,PartialSigmaChargeDescriptor-partialSigmaCharge,PartialTChargeMMFF94Descriptor-partialTCMMFF94,PartialTChargePEOEDescriptor-pepeT,PeriodicTablePositionDescriptor-periodicTablePosition,PiElectronegativityDescriptor-elecPiA,ProtonAffinityHOSEDescriptor-protonAffiHOSE,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge1,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge2,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge3,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge4,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge5,RDFProtonDescriptor_G3R-g3r_1,RDFProtonDescriptor_G3R-g3r_2,RDFProtonDescriptor_G3R-g3r_3,RDFProtonDescriptor_G3R-g3r_4
F,1.0,3.0,3.0,7.0,0.0,0.72,0.0,3.207874999999999,0.0,1.3402806394386384,0.7461123965939244,0.0,0.0,0.0,-0.16476237547833192,-0.317,-0.16476237547833192,2.0,5.010586393190453,0.0,-0.16480405243296048,0.0,0.0,0.0,0.0,0.0,12.44020434166663,0.0,1.5
C,4.0,3.0,3.0,4.0,1.0,0.77,1.351058133464286,5.05575,0.0,0.8099911713058827,1.2345813577051483,0.0,0.0,0.0,0.4600159942059403,0.9510000000000001,0.4600159942059403,2.0,0.0,0.0,0.46036756678522583,0.0,0.0,0.0,0.0,0.0,12.604618260598142,0.0,1.7
F,1.0,3.0,3.0,7.0,2.0,0.72,2.1776702459279735,3.207874999999999,0.0,1.4982662355099567,0.6674381203415662,0.0,0.0,0.0,-0.16476237547833192,-0.317,-0.16476237547833192,2.0,5.010586393190453,0.0,-0.16480405243296048,0.0,0.0,0.0,0.0,0.0,12.44020434166663,0.0,1.5
F,1.0,3.0,3.0,7.0,2.0,0.72,2.1772775868042182,3.207874999999999,0.0,1.268935461854821,0.7880621434744095,0.0,0.0,0.0,-0.16476237547833192,-0.317,-0.16476237547833192,2.0,5.010586393190453,0.0,-0.16480405243296048,0.0,0.0,0.0,0.0,0.0,12.44020434166663,0.0,1.5
C,4.0,3.0,3.0,4.0,2.0,0.77,2.3751805426114454,6.651499999999999,0.0,0.7703211013169897,1.2981599469238694,0.0,0.0,0.0,0.40951857979435047,0.634,0.40951857979435047,2.0,0.0,0.0,0.40931726970380217,0.0,0.0,0.0,0.0,0.0,12.052508915163122,0.0,1.7
F,1.0,3.0,3.0,7.0,3.0,0.72,2.844052239323322,4.00575,0.0,1.362772334186553,0.7337982837734273,0.0,0.0,0.0,-0.18888965367748967,-0.317,-0.18888965367748967,2.0,4.724647831223156,0.0,-0.18885921464006153,0.0,0.0,0.0,0.0,0.0,12.126692502059951,0.0,1.5
F,1.0,3.0,3.0,7.0,3.0,0.72,3.5488695495889955,4.00575,0.0,1.2962164606496234,0.7714760847110607,0.0,0.0,0.0,-0.18888965367748967,-0.317,-0.18888965367748967,2.0,4.724647831223156,0.0,-0.18885921464006153,0.0,0.0,0.0,0.0,0.0,12.126692502059951,0.0,1.5
C,4.0,3.0,3.0,4.0,3.0,0.77,2.8952243522739303,8.025,0.0,0.7720808749426671,1.295201101923756,0.0,0.0,0.0,0.3898547969934936,0.634,0.3898547969934936,2.0,0.0,0.0,0.3896713481316575,0.0,0.0,0.0,0.0,0.0,11.842649243811533,0.0,1.7
F,1.0,3.0,3.0,7.0,4.0,0.72,2.6911949799299197,4.6925,0.0,1.2825962760115048,0.7796685665653921,0.0,0.0,0.0,-0.19129231306034825,-0.317,-0.19129231306034825,2.0,4.69653535550793,0.0,-0.1911881606345789,0.0,0.0,0.0,0.0,0.0,12.096481203702467,0.0,1.5
F,1.0,3.0,3.0,7.0,4.0,0.72,4.144537848783625,4.6925,0.0,1.3445332735726079,0.7437525122326382,0.0,0.0,0.0,-0.19129231306034825,-0.317,-0.19129231306034825,2.0,4.69653535550793,0.0,-0.1911881606345789,0.0,0.0,0.0,0.0,0.0,12.096481203702467,0.0,1.5
