SMILES,AtomDegreeDescriptor-aNeg,AtomHybridizationDescriptor-aHyb,AtomHybridizationVSEPRDescriptor-hybr,AtomValenceDescriptor-val,BondsToAtomDescriptor-bondsToAtom,CovalentRadiusDescriptor-covalentRadius,DistanceToAtomDescriptor-distanceToAtom,EffectiveAtomPolarizabilityDescriptor-effAtomPol,IPAtomicHOSEDescriptor-ipAtomicHOSE,InductiveAtomicHardnessDescriptor-indAtomHardnesss,InductiveAtomicSoftnessDescriptor-indAtomSoftness,IsProtonInAromaticSystemDescriptor-protonInArmaticSystem,IsProtonInConjugatedPiSystemDescriptor-protonInConjSystem,PartialPiChargeDescriptor-pepe,PartialSigmaChargeDescriptor-partialSigmaCharge,PartialTChargeMMFF94Descriptor-partialTCMMFF94,PartialTChargePEOEDescriptor-pepeT,PeriodicTablePositionDescriptor-periodicTablePosition,PiElectronegativityDescriptor-elecPiA,ProtonAffinityHOSEDescriptor-protonAffiHOSE,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge1,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge2,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge3,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge4,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge5,RDFProtonDescriptor_G3R-g3r_1,RDFProtonDescriptor_G3R-g3r_2,RDFProtonDescriptor_G3R-g3r_3,RDFProtonDescriptor_G3R-g3r_4
C,1.0,3.0,3.0,4.0,0.0,0.77,0.0,7.177070312500003,0.0,1.2616754472529226,0.7925968617185386,0.0,0.0,0.0,0.10688986251533734,0.253,0.10688986251533734,2.0,0.0,0.0,0.10658409464642925,0.0,0.0,0.0,0.0,0.0,8.979799107009626,0.0,1.7
N,3.0,3.0,3.0,5.0,1.0,0.75,1.479738564747165,10.454640625000005,0.0,0.8970479961879241,1.1147675534080435,0.0,0.0,0.11452933881947885,-0.17094302920720944,-0.641,-0.056413690387730586,2.0,2.7265171943993063,0.0,-0.17143997879141973,0.0,0.0,0.0,0.0,0.0,9.724992095682921,0.0,1.6
C,2.0,3.0,3.0,4.0,2.0,0.77,2.493511800653849,8.296632812500002,0.0,1.1660885017490452,0.857567841977753,0.0,0.0,0.0,0.12417548017334781,0.253,0.12417548017334781,2.0,0.0,0.0,0.12362842880919472,0.0,0.0,0.0,0.0,0.0,9.14364287467889,0.0,1.7
C,2.0,3.0,3.0,4.0,3.0,0.77,3.0980996336464073,6.435941406250004,0.0,1.300435609956262,0.7689730982017889,0.0,0.0,0.0,0.20075198785576517,0.456,0.20075198785576517,2.0,0.0,0.0,0.20043527165648092,0.0,0.0,0.0,0.0,0.0,9.895523474279628,0.0,1.7
O,1.0,3.0,3.0,6.0,4.0,0.73,2.987046156322329,4.372220703125002,0.0,1.7855130163394728,0.5600631251908352,0.0,0.0,0.0,-0.21945516910512428,-1.912,-0.21945516910512428,2.0,5.000741617050033,0.0,-0.21882994097388725,0.0,0.0,0.0,0.0,0.0,11.41927945748,0.0,1.55
S,4.0,3.0,3.0,6.0,2.0,1.02,2.711278351626775,10.252218750000003,0.0,0.544568299246838,1.8363169530489456,0.0,0.0,0.0,0.2879931260916392,1.1550000000000002,0.2879931260916392,3.0,10.230145382531399,0.0,0.2882530803620366,0.0,0.0,0.0,0.0,0.0,12.886414600612115,0.0,1.8
O,1.0,2.0,2.0,6.0,3.0,0.73,3.8836462943991177,7.111109375000001,0.0,1.071829448663021,0.9329842553284763,0.0,0.0,-0.057264669409739434,-0.20498415470337275,-0.5690000000000001,-0.2622488241131122,2.0,8.892748907344481,0.0,-0.20446065252589146,0.0,0.0,0.0,0.0,0.0,14.270135556130676,0.0,1.55
O,1.0,2.0,2.0,6.0,3.0,0.73,3.016685805648311,7.111109375000001,0.0,0.9431020348707757,1.060330656732196,0.0,0.0,-0.057264669409739434,-0.20498415470337275,-0.5690000000000001,-0.2622488241131122,2.0,8.892748907344481,0.0,-0.20446065252589146,0.0,0.0,0.0,0.0,0.0,14.270135556130676,0.0,1.55
C,4.0,3.0,3.0,4.0,3.0,0.77,3.2765777726158127,9.882906250000003,0.0,0.6587070246562461,1.5181256045081069,0.0,0.0,0.0,0.4267776811735933,0.752,0.4267776811735933,2.0,0.0,0.0,0.42665034843760946,0.0,0.0,0.0,0.0,0.0,12.238867575922491,0.0,1.7
F,1.0,3.0,3.0,7.0,4.0,0.72,3.473446642745502,5.621453125000001,0.0,1.1037616986578382,0.905992662379922,0.0,0.0,0.0,-0.1795901784120552,-0.317,-0.1795901784120552,2.0,4.834075078003094,0.0,-0.17958674949639816,0.0,0.0,0.0,0.0,0.0,12.247224254848602,0.0,1.5
