SMILES,AtomDegreeDescriptor-aNeg,AtomHybridizationDescriptor-aHyb,AtomHybridizationVSEPRDescriptor-hybr,AtomValenceDescriptor-val,BondsToAtomDescriptor-bondsToAtom,CovalentRadiusDescriptor-covalentRadius,DistanceToAtomDescriptor-distanceToAtom,EffectiveAtomPolarizabilityDescriptor-effAtomPol,IPAtomicHOSEDescriptor-ipAtomicHOSE,InductiveAtomicHardnessDescriptor-indAtomHardnesss,InductiveAtomicSoftnessDescriptor-indAtomSoftness,IsProtonInAromaticSystemDescriptor-protonInArmaticSystem,IsProtonInConjugatedPiSystemDescriptor-protonInConjSystem,PartialPiChargeDescriptor-pepe,PartialSigmaChargeDescriptor-partialSigmaCharge,PartialTChargeMMFF94Descriptor-partialTCMMFF94,PartialTChargePEOEDescriptor-pepeT,PeriodicTablePositionDescriptor-periodicTablePosition,PiElectronegativityDescriptor-elecPiA,ProtonAffinityHOSEDescriptor-protonAffiHOSE,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge1,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge2,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge3,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge4,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge5,RDFProtonDescriptor_G3R-g3r_1,RDFProtonDescriptor_G3R-g3r_2,RDFProtonDescriptor_G3R-g3r_3,RDFProtonDescriptor_G3R-g3r_4
O,1.0,2.0,2.0,6.0,0.0,0.73,0.0,3.3499999999999988,0.0,1.6324725311273929,0.6125677344839582,0.0,0.0,0.0,-0.2787553795308494,-0.5920000000000001,-0.2787553795308494,2.0,8.261458931467867,0.0,-0.27829253155703404,0.0,0.0,0.0,0.0,0.0,13.268745954395099,0.0,1.55
C,3.0,2.0,2.0,4.0,1.0,0.77,1.2345648788135841,4.857999999999999,0.0,0.9741435415477949,1.0265427602292803,0.0,0.0,0.0,0.33824474735102494,0.40200000000000014,0.33824474735102494,2.0,8.884235294168112,0.0,0.33739067014774615,0.0,0.0,0.0,0.0,0.0,12.106368066874138,0.0,1.7
C,4.0,3.0,3.0,4.0,2.0,0.77,2.4142482660240225,4.318,0.0,0.9466348693151729,1.0563735104364296,0.0,0.0,0.0,0.45942843980113546,1.046,0.45942843980113546,2.0,0.0,0.0,0.45972672190792174,0.0,0.0,0.0,0.0,0.0,12.597626785726783,0.0,1.7
F,1.0,3.0,3.0,7.0,3.0,0.72,2.744810891482326,2.839,0.0,1.789829037003222,0.5587125805458703,0.0,0.0,0.0,-0.16305770790374113,-0.317,-0.16305770790374113,2.0,5.031038963940895,0.0,-0.16309193040109263,0.0,0.0,0.0,0.0,0.0,12.462620402574984,0.0,1.5
F,1.0,3.0,3.0,7.0,3.0,0.72,3.260257380944026,2.839,0.0,1.6772113254524283,0.5962277888448253,0.0,0.0,0.0,-0.16305770790374113,-0.317,-0.16305770790374113,2.0,5.031038963940895,0.0,-0.16309193040109263,0.0,0.0,0.0,0.0,0.0,12.462620402574984,0.0,1.5
F,1.0,3.0,3.0,7.0,3.0,0.72,3.428624520124652,2.839,0.0,1.621547427680961,0.616694882264492,0.0,0.0,0.0,-0.16305770790374113,-0.317,-0.16305770790374113,2.0,5.031038963940895,0.0,-0.16309193040109263,0.0,0.0,0.0,0.0,0.0,12.462620402574984,0.0,1.5
C,4.0,3.0,3.0,4.0,2.0,0.77,2.4141895658792,4.318,0.0,0.9466216713974096,1.0563882385280625,0.0,0.0,0.0,0.45942843980113546,1.046,0.45942843980113546,2.0,0.0,0.0,0.45972672190792174,0.0,0.0,0.0,0.0,0.0,12.597626785726783,0.0,1.7
F,1.0,3.0,3.0,7.0,3.0,0.72,3.260160948480918,2.839,0.0,1.6772861804433465,0.5962011800131068,0.0,0.0,0.0,-0.16305770790374113,-0.317,-0.16305770790374113,2.0,5.031038963940895,0.0,-0.16309193040109263,0.0,0.0,0.0,0.0,0.0,12.462620402574984,0.0,1.5
F,1.0,3.0,3.0,7.0,3.0,0.72,2.744766618494184,2.839,0.0,1.7898124699074365,0.55871775217418,0.0,0.0,0.0,-0.16305770790374113,-0.317,-0.16305770790374113,2.0,5.031038963940895,0.0,-0.16309193040109263,0.0,0.0,0.0,0.0,0.0,12.462620402574984,0.0,1.5
F,1.0,3.0,3.0,7.0,3.0,0.72,3.4285965029440253,2.839,0.0,1.621409819838505,0.6167472206993304,0.0,0.0,0.0,-0.16305770790374113,-0.317,-0.16305770790374113,2.0,5.031038963940895,0.0,-0.16309193040109263,0.0,0.0,0.0,0.0,0.0,12.462620402574984,0.0,1.5
