SMILES,AtomDegreeDescriptor-aNeg,AtomHybridizationDescriptor-aHyb,AtomHybridizationVSEPRDescriptor-hybr,AtomValenceDescriptor-val,BondsToAtomDescriptor-bondsToAtom,CovalentRadiusDescriptor-covalentRadius,DistanceToAtomDescriptor-distanceToAtom,EffectiveAtomPolarizabilityDescriptor-effAtomPol,IPAtomicHOSEDescriptor-ipAtomicHOSE,InductiveAtomicHardnessDescriptor-indAtomHardnesss,InductiveAtomicSoftnessDescriptor-indAtomSoftness,IsProtonInAromaticSystemDescriptor-protonInArmaticSystem,IsProtonInConjugatedPiSystemDescriptor-protonInConjSystem,PartialPiChargeDescriptor-pepe,PartialSigmaChargeDescriptor-partialSigmaCharge,PartialTChargeMMFF94Descriptor-partialTCMMFF94,PartialTChargePEOEDescriptor-pepeT,PeriodicTablePositionDescriptor-periodicTablePosition,PiElectronegativityDescriptor-elecPiA,ProtonAffinityHOSEDescriptor-protonAffiHOSE,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge1,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge2,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge3,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge4,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge5,RDFProtonDescriptor_G3R-g3r_1,RDFProtonDescriptor_G3R-g3r_2,RDFProtonDescriptor_G3R-g3r_3,RDFProtonDescriptor_G3R-g3r_4
C,1.0,2.0,2.0,4.0,0.0,0.77,0.0,5.036266601562501,0.0,1.838239215930619,0.5439988393968325,0.0,0.0,0.0,0.00599135970474368,0.0,0.00599135970474368,2.0,6.0275811214573745,0.0,0.005637809218727607,0.0,0.0,0.0,0.0,0.0,8.842592377106648,0.0,1.7
C,2.0,2.0,2.0,4.0,1.0,0.77,1.338943482750485,6.171533203125,0.0,1.2396695171567462,0.8066666044136972,0.0,0.0,0.0,0.06923987596486214,-0.04000000000000001,0.06923987596486214,2.0,6.538372887623199,0.0,0.06825361468879164,0.0,0.0,0.0,0.0,0.0,9.433158108335848,0.0,1.7
C,3.0,2.0,2.0,4.0,2.0,0.77,2.449312405553852,6.375066406250003,0.0,0.9141508128159477,1.093911404967855,0.0,0.0,0.04567909750931916,0.29516980583867924,0.7800000000000001,0.3408489033479984,2.0,8.489719476001683,0.0,0.2959102909270658,0.0,0.0,0.0,0.0,0.0,11.68010389085783,0.0,1.7
O,1.0,2.0,2.0,6.0,3.0,0.73,2.8765145767056355,4.108533203125001,0.0,1.377821428420121,0.7257834574010437,0.0,0.0,-0.10393143466862806,-0.26026202628560524,-0.5920000000000001,-0.36419346095423333,2.0,8.409818372097064,0.0,-0.2591594261345716,0.0,0.0,0.0,0.0,0.0,13.527758409436828,0.0,1.55
O,2.0,3.0,3.0,6.0,3.0,0.73,3.5539025042901784,6.351132812500002,0.0,0.9912523713690027,1.0088248249221499,0.0,0.0,0.058252337159308894,-0.2979438094829591,-0.391,-0.23969147232365023,2.0,4.120427390254665,0.0,-0.2978448826129088,0.0,0.0,0.0,0.0,0.0,10.455153204638407,0.0,1.55
C,2.0,3.0,3.0,4.0,4.0,0.77,4.787717939686924,6.724765625000002,0.0,0.996526552326486,1.0034855545649084,0.0,0.0,0.0,0.1581332599780428,0.243,0.1581332599780428,2.0,0.0,0.0,0.15784285845299767,0.0,0.0,0.0,0.0,0.0,9.475836452371992,0.0,1.7
C,2.0,3.0,3.0,4.0,5.0,0.77,5.4338864811477245,7.0397812500000025,0.0,0.9384135091253039,1.0656283080708215,0.0,0.0,0.0,0.10684652418354695,0.0,0.10684652418354695,2.0,0.0,0.0,0.10517521427566187,0.0,0.0,0.0,0.0,0.0,8.966304699362688,0.0,1.7
C,4.0,3.0,3.0,4.0,6.0,0.77,5.768062694700881,7.0536875000000006,0.0,0.696153317978049,1.4364651782519147,0.0,0.0,0.0,0.32659616441065464,0.634,0.32659616441065464,2.0,0.0,0.0,0.3266023216080601,0.0,0.0,0.0,0.0,0.0,11.178747176143968,0.0,1.7
F,1.0,3.0,3.0,7.0,7.0,0.72,6.73270497200048,4.206843750000001,0.0,1.1239867829383197,0.8896901771262877,0.0,0.0,0.0,-0.1986298731169133,-0.317,-0.1986298731169133,2.0,4.611087693088007,0.0,-0.1981211798655012,0.0,0.0,0.0,0.0,0.0,12.006693783277907,0.0,1.5
F,1.0,3.0,3.0,7.0,7.0,0.72,4.810365486114335,4.206843750000001,0.0,1.0912228413577842,0.9164031049384215,0.0,0.0,0.0,-0.1986298731169133,-0.317,-0.1986298731169133,2.0,4.611087693088007,0.0,-0.1981211798655012,0.0,0.0,0.0,0.0,0.0,12.006693783277907,0.0,1.5
C,4.0,3.0,3.0,4.0,7.0,0.77,6.5709773009804255,7.046437499999999,0.0,0.6238403685371676,1.60297417485964,0.0,0.0,0.0,0.3786673225161342,0.634,0.3786673225161342,2.0,0.0,0.0,0.3785283084239234,0.0,0.0,0.0,0.0,0.0,11.724263190254776,0.0,1.7
F,1.0,3.0,3.0,7.0,8.0,0.72,7.068220977728412,4.2032187500000004,0.0,0.9336036874538881,1.0711183058061682,0.0,0.0,0.0,-0.19245747616971393,-0.317,-0.19245747616971393,2.0,4.682925899446704,0.0,-0.1922373494788112,0.0,0.0,0.0,0.0,0.0,12.082879218333481,0.0,1.5
F,1.0,3.0,3.0,7.0,8.0,0.72,6.027251434941137,4.2032187500000004,0.0,0.9221259974236279,1.0844505011180121,0.0,0.0,0.0,-0.19245747616971393,-0.317,-0.19245747616971393,2.0,4.682925899446704,0.0,-0.1922373494788112,0.0,0.0,0.0,0.0,0.0,12.082879218333481,0.0,1.5
C,4.0,3.0,3.0,4.0,8.0,0.77,7.857660001552625,7.014406249999999,0.0,0.6138055279163478,1.6291805050936012,0.0,0.0,0.0,0.38414076630321103,0.634,0.38414076630321103,2.0,0.0,0.0,0.38379953169124875,0.0,0.0,0.0,0.0,0.0,11.780207612315337,0.0,1.7
F,1.0,3.0,3.0,7.0,9.0,0.72,7.742448993697019,4.187203124999999,0.0,0.9686663006933054,1.0323472585804503,0.0,0.0,0.0,-0.1921998128810301,-0.317,-0.1921998128810301,2.0,4.685934156115059,0.0,-0.19201256308395181,0.0,0.0,0.0,0.0,0.0,12.085792985609846,0.0,1.5
F,1.0,3.0,3.0,7.0,9.0,0.72,8.649500751488493,4.187203124999999,0.0,0.9477558390216644,1.0551240718625015,0.0,0.0,0.0,-0.1921998128810301,-0.317,-0.1921998128810301,2.0,4.685934156115059,0.0,-0.19201256308395181,0.0,0.0,0.0,0.0,0.0,12.085792985609846,0.0,1.5
C,4.0,3.0,3.0,4.0,9.0,0.77,8.809506827286077,6.941578125000001,0.0,0.5991393910839693,1.669060680838877,0.0,0.0,0.0,0.38438768981245314,0.634,0.38438768981245314,2.0,0.0,0.0,0.3840167173117923,0.0,0.0,0.0,0.0,0.0,11.782514882571114,0.0,1.7
F,1.0,3.0,3.0,7.0,10.0,0.72,8.42902829512394,4.1507890625,0.0,0.9271786141245549,1.0785408385893405,0.0,0.0,0.0,-0.1921949441253935,-0.317,-0.1921949441253935,2.0,4.685991006811069,0.0,-0.19200912756315588,0.0,0.0,0.0,0.0,0.0,12.085837519956366,0.0,1.5
F,1.0,3.0,3.0,7.0,10.0,0.72,9.91676927280251,4.1507890625,0.0,0.8833741342229939,1.1320231839022419,0.0,0.0,0.0,-0.1921949441253935,-0.317,-0.1921949441253935,2.0,4.685991006811069,0.0,-0.19200912756315588,0.0,0.0,0.0,0.0,0.0,12.085837519956366,0.0,1.5
C,4.0,3.0,3.0,4.0,10.0,0.77,9.411645851815718,6.791539062499999,0.0,0.601095239053097,1.6636298793104667,0.0,0.0,0.0,0.3845227422996676,0.634,0.3845227422996676,2.0,0.0,0.0,0.3841359337169162,0.0,0.0,0.0,0.0,0.0,11.783781452797717,0.0,1.7
F,1.0,3.0,3.0,7.0,11.0,0.72,9.958576200441508,4.075769531250001,0.0,0.8857571337622606,1.1289776417069224,0.0,0.0,0.0,-0.19219225157855208,-0.317,-0.19219225157855208,2.0,4.686022446820882,0.0,-0.19200722093929531,0.0,0.0,0.0,0.0,0.0,12.0858622353732,0.0,1.5
F,1.0,3.0,3.0,7.0,11.0,0.72,8.56405198022525,4.075769531250001,0.0,0.9131974912080698,1.0950533807064002,0.0,0.0,0.0,-0.19219225157855208,-0.317,-0.19219225157855208,2.0,4.686022446820882,0.0,-0.19200722093929531,0.0,0.0,0.0,0.0,0.0,12.0858622353732,0.0,1.5
C,4.0,3.0,3.0,4.0,11.0,0.77,10.587805163016554,6.489269531249999,0.0,0.6414993937362887,1.5588479268479025,0.0,0.0,0.0,0.387264413278933,0.634,0.387264413278933,2.0,0.0,0.0,0.38680132226723113,0.0,0.0,0.0,0.0,0.0,11.812112832679617,0.0,1.7
F,1.0,3.0,3.0,7.0,12.0,0.72,11.14563772513713,3.9246347656249996,0.0,1.0577265974561767,0.9454238953667151,0.0,0.0,0.0,-0.19205463971706888,-0.317,-0.19205463971706888,2.0,4.6876294062587505,0.0,-0.19188616381560833,0.0,0.0,0.0,0.0,0.0,12.087431523839365,0.0,1.5
F,1.0,3.0,3.0,7.0,12.0,0.72,10.249495225619649,3.9246347656249996,0.0,1.0361406250650709,0.9651199613345909,0.0,0.0,0.0,-0.19205463971706888,-0.317,-0.19205463971706888,2.0,4.6876294062587505,0.0,-0.19188616381560833,0.0,0.0,0.0,0.0,0.0,12.087431523839365,0.0,1.5
C,4.0,3.0,3.0,4.0,12.0,0.77,11.790004138252028,5.883634765624998,0.0,0.6707154078672366,1.4909453223682956,0.0,0.0,0.0,0.40900276595586404,0.634,0.40900276595586404,2.0,0.0,0.0,0.4087062297528653,0.0,0.0,0.0,0.0,0.0,12.045959859740252,0.0,1.7
F,1.0,3.0,3.0,7.0,13.0,0.72,11.6116327452258,3.621817382812499,0.0,1.0184595745000327,0.9818750051919394,0.0,0.0,0.0,-0.1889399600014517,-0.317,-0.1889399600014517,2.0,4.724058546576669,0.0,-0.18889105031530173,0.0,0.0,0.0,0.0,0.0,12.126279357867164,0.0,1.5
F,1.0,3.0,3.0,7.0,13.0,0.72,12.77749821052619,3.621817382812499,0.0,1.177179093145345,0.8494884132949269,0.0,0.0,0.0,-0.1889399600014517,-0.317,-0.1889399600014517,2.0,4.724058546576669,0.0,-0.18889105031530173,0.0,0.0,0.0,0.0,0.0,12.126279357867164,0.0,1.5
C,4.0,3.0,3.0,4.0,13.0,0.77,12.438352445963252,4.671817382812502,0.0,0.7144488994198959,1.399680230191355,0.0,0.0,0.0,0.4598087232869126,0.9510000000000001,0.4598087232869126,2.0,0.0,0.0,0.46033662023003996,0.0,0.0,0.0,0.0,0.0,12.604280605090421,0.0,1.7
F,1.0,3.0,3.0,7.0,14.0,0.72,11.751969323479363,3.0159086914062505,0.0,0.9971217402942044,1.0028865679981527,0.0,0.0,0.0,-0.16474255419496472,-0.317,-0.16474255419496472,2.0,5.0108240189018165,0.0,-0.16480438456486363,0.0,0.0,0.0,0.0,0.0,12.440199994523505,0.0,1.5
F,1.0,3.0,3.0,7.0,14.0,0.72,12.80217464378611,3.0159086914062505,0.0,1.1581724465988599,0.8634292785471144,0.0,0.0,0.0,-0.16474255419496472,-0.317,-0.16474255419496472,2.0,5.0108240189018165,0.0,-0.16480438456486363,0.0,0.0,0.0,0.0,0.0,12.440199994523505,0.0,1.5
F,1.0,3.0,3.0,7.0,14.0,0.72,13.619902273144252,3.0159086914062505,0.0,1.2905449590556504,0.77486645698244,0.0,0.0,0.0,-0.16474255419496472,-0.317,-0.16474255419496472,2.0,5.0108240189018165,0.0,-0.16480438456486363,0.0,0.0,0.0,0.0,0.0,12.440199994523505,0.0,1.5
