SMILES,AtomDegreeDescriptor-aNeg,AtomHybridizationDescriptor-aHyb,AtomHybridizationVSEPRDescriptor-hybr,AtomValenceDescriptor-val,BondsToAtomDescriptor-bondsToAtom,CovalentRadiusDescriptor-covalentRadius,DistanceToAtomDescriptor-distanceToAtom,EffectiveAtomPolarizabilityDescriptor-effAtomPol,IPAtomicHOSEDescriptor-ipAtomicHOSE,InductiveAtomicHardnessDescriptor-indAtomHardnesss,InductiveAtomicSoftnessDescriptor-indAtomSoftness,IsProtonInAromaticSystemDescriptor-protonInArmaticSystem,IsProtonInConjugatedPiSystemDescriptor-protonInConjSystem,PartialPiChargeDescriptor-pepe,PartialSigmaChargeDescriptor-partialSigmaCharge,PartialTChargeMMFF94Descriptor-partialTCMMFF94,PartialTChargePEOEDescriptor-pepeT,PeriodicTablePositionDescriptor-periodicTablePosition,PiElectronegativityDescriptor-elecPiA,ProtonAffinityHOSEDescriptor-protonAffiHOSE,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge1,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge2,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge3,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge4,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge5,RDFProtonDescriptor_G3R-g3r_1,RDFProtonDescriptor_G3R-g3r_2,RDFProtonDescriptor_G3R-g3r_3,RDFProtonDescriptor_G3R-g3r_4
O,1.0,3.0,3.0,6.0,0.0,0.73,0.0,3.869625,0.0,2.044252588487235,0.48917634035626134,0.0,0.0,0.0,-0.22122429892563408,-1.912,-0.22122429892563408,2.0,4.9799696523383385,0.0,-0.22022326176442228,0.0,0.0,0.0,0.0,0.0,11.402128074184468,0.0,1.55
C,2.0,3.0,3.0,4.0,1.0,0.77,1.418603799515566,5.43075,0.0,1.4849254078721732,0.6734345002776617,0.0,0.0,0.0,0.1884743432529084,0.456,0.1884743432529084,2.0,0.0,0.0,0.1879507809058738,0.0,0.0,0.0,0.0,0.0,9.771800101277002,0.0,1.7
C,2.0,3.0,3.0,4.0,2.0,0.77,2.4022784309900467,6.286250000000003,0.0,1.1947972855803255,0.8369620621579246,0.0,0.0,0.0,0.10981304160868088,0.0,0.10981304160868088,2.0,0.0,0.0,0.10799146304079142,0.0,0.0,0.0,0.0,0.0,8.993286484163084,0.0,1.7
C,4.0,3.0,3.0,4.0,3.0,0.77,3.0949193737478846,6.463874999999999,0.0,0.8007713208212833,1.2487959720814985,0.0,0.0,0.0,0.3268375989911272,0.634,0.3268375989911272,2.0,0.0,0.0,0.3268141699097515,0.0,0.0,0.0,0.0,0.0,11.180952182880663,0.0,1.7
F,1.0,3.0,3.0,7.0,4.0,0.72,2.7929331642558153,3.9119375,0.0,1.271244370840007,0.786630818541383,0.0,0.0,0.0,-0.19862523943407456,-0.317,-0.19862523943407456,2.0,4.61114146044831,0.0,-0.19811791686652344,0.0,0.0,0.0,0.0,0.0,12.006735989150606,0.0,1.5
F,1.0,3.0,3.0,7.0,4.0,0.72,3.666640589149692,3.9119375,0.0,1.304732735018857,0.766440492493313,0.0,0.0,0.0,-0.19862523943407456,-0.317,-0.19862523943407456,2.0,4.61114146044831,0.0,-0.19811791686652344,0.0,0.0,0.0,0.0,0.0,12.006735989150606,0.0,1.5
C,4.0,3.0,3.0,4.0,4.0,0.77,4.437459168262848,6.3254375,0.0,0.7480754793608552,1.336763505274074,0.0,0.0,0.0,0.381544539267238,0.634,0.381544539267238,2.0,0.0,0.0,0.381313365844384,0.0,0.0,0.0,0.0,0.0,11.753808478438003,0.0,1.7
F,1.0,3.0,3.0,7.0,5.0,0.72,5.14251703546036,3.84271875,0.0,1.2424415466377599,0.804866838770931,0.0,0.0,0.0,-0.19231736820459125,-0.317,-0.19231736820459125,2.0,4.6845615869270025,0.0,-0.1921145506759692,0.0,0.0,0.0,0.0,0.0,12.08447095448093,0.0,1.5
F,1.0,3.0,3.0,7.0,5.0,0.72,4.565556444728287,3.84271875,0.0,1.23921853165674,0.8069601724427707,0.0,0.0,0.0,-0.19231736820459125,-0.317,-0.19231736820459125,2.0,4.6845615869270025,0.0,-0.1921145506759692,0.0,0.0,0.0,0.0,0.0,12.08447095448093,0.0,1.5
C,4.0,3.0,3.0,4.0,5.0,0.77,5.45460604626952,5.801718749999999,0.0,0.7569030644986275,1.3211731421148358,0.0,0.0,0.0,0.4087536536240568,0.634,0.4087536536240568,2.0,0.0,0.0,0.4084874789095727,0.0,0.0,0.0,0.0,0.0,12.043615654790568,0.0,1.7
F,1.0,3.0,3.0,7.0,6.0,0.72,5.822761441962053,3.580859375,0.0,1.2658943844186825,0.7899553172117236,0.0,0.0,0.0,-0.1889448916451057,-0.317,-0.1889448916451057,2.0,4.724000779206309,0.0,-0.1888945251237914,0.0,0.0,0.0,0.0,0.0,12.126234264181715,0.0,1.5
F,1.0,3.0,3.0,7.0,6.0,0.72,5.321225968703077,3.580859375,0.0,1.264132641767924,0.7910562285627502,0.0,0.0,0.0,-0.1889448916451057,-0.317,-0.1889448916451057,2.0,4.724000779206309,0.0,-0.1888945251237914,0.0,0.0,0.0,0.0,0.0,12.126234264181715,0.0,1.5
C,4.0,3.0,3.0,4.0,6.0,0.77,6.767696687943395,4.630859375,0.0,0.8279439561781504,1.2078112202377476,0.0,0.0,0.0,0.45980386158138437,0.9510000000000001,0.45980386158138437,2.0,0.0,0.0,0.4603331739352564,0.0,0.0,0.0,0.0,0.0,12.60424300305323,0.0,1.7
