SMILES,AtomDegreeDescriptor-aNeg,AtomHybridizationDescriptor-aHyb,AtomHybridizationVSEPRDescriptor-hybr,AtomValenceDescriptor-val,BondsToAtomDescriptor-bondsToAtom,CovalentRadiusDescriptor-covalentRadius,DistanceToAtomDescriptor-distanceToAtom,EffectiveAtomPolarizabilityDescriptor-effAtomPol,IPAtomicHOSEDescriptor-ipAtomicHOSE,InductiveAtomicHardnessDescriptor-indAtomHardnesss,InductiveAtomicSoftnessDescriptor-indAtomSoftness,IsProtonInAromaticSystemDescriptor-protonInArmaticSystem,IsProtonInConjugatedPiSystemDescriptor-protonInConjSystem,PartialPiChargeDescriptor-pepe,PartialSigmaChargeDescriptor-partialSigmaCharge,PartialTChargeMMFF94Descriptor-partialTCMMFF94,PartialTChargePEOEDescriptor-pepeT,PeriodicTablePositionDescriptor-periodicTablePosition,PiElectronegativityDescriptor-elecPiA,ProtonAffinityHOSEDescriptor-protonAffiHOSE,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge1,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge2,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge3,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge4,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge5,RDFProtonDescriptor_G3R-g3r_1,RDFProtonDescriptor_G3R-g3r_2,RDFProtonDescriptor_G3R-g3r_3,RDFProtonDescriptor_G3R-g3r_4
F,1.0,3.0,3.0,7.0,0.0,0.72,0.0,3.011265625,0.0,1.2901671520740845,0.7750933655320482,0.0,0.0,0.0,-0.16480438456486363,-0.317,-0.16480438456486363,2.0,5.0100827857068335,0.0,-0.16480438456486363,0.0,0.0,0.0,0.0,0.0,12.440199994523505,0.0,1.5
C,4.0,3.0,3.0,4.0,1.0,0.77,1.354919237445539,4.662531250000001,0.0,0.7152643175534902,1.3980845618308315,0.0,0.0,0.0,0.4603366202300401,0.9510000000000001,0.4603366202300401,2.0,0.0,0.0,0.4603366202300401,0.0,0.0,0.0,0.0,0.0,12.604280605090423,0.0,1.7
F,1.0,3.0,3.0,7.0,2.0,0.72,2.17745059186196,3.011265625,0.0,1.1687350292299892,0.8556259331585545,0.0,0.0,0.0,-0.16480438456486363,-0.317,-0.16480438456486363,2.0,5.0100827857068335,0.0,-0.16480438456486363,0.0,0.0,0.0,0.0,0.0,12.440199994523505,0.0,1.5
F,1.0,3.0,3.0,7.0,2.0,0.72,2.1685278370359926,3.011265625,0.0,1.0244673752435676,0.9761169795790223,0.0,0.0,0.0,-0.16480438456486363,-0.317,-0.16480438456486363,2.0,5.0100827857068335,0.0,-0.16480438456486363,0.0,0.0,0.0,0.0,0.0,12.440199994523505,0.0,1.5
C,4.0,3.0,3.0,4.0,2.0,0.77,2.3745376581557935,5.8650625000000005,0.0,0.655495617595089,1.525563212258907,0.0,0.0,0.0,0.4087062297528654,0.634,0.4087062297528654,2.0,0.0,0.0,0.4087062297528654,0.0,0.0,0.0,0.0,0.0,12.045959859740252,0.0,1.7
F,1.0,3.0,3.0,7.0,3.0,0.72,2.8131933918591523,3.61253125,0.0,0.9640953310974117,1.0372418242724177,0.0,0.0,0.0,-0.18889105031530173,-0.317,-0.18889105031530173,2.0,4.724631470720675,0.0,-0.18889105031530173,0.0,0.0,0.0,0.0,0.0,12.126279357867164,0.0,1.5
F,1.0,3.0,3.0,7.0,3.0,0.72,2.7255238854209294,3.61253125,0.0,1.1372618729273307,0.8793049550021259,0.0,0.0,0.0,-0.18889105031530173,-0.317,-0.18889105031530173,2.0,4.724631470720675,0.0,-0.18889105031530173,0.0,0.0,0.0,0.0,0.0,12.126279357867164,0.0,1.5
C,4.0,3.0,3.0,4.0,3.0,0.77,3.721067923325238,6.452124999999999,0.0,0.6157100202107793,1.6241411820091294,0.0,0.0,0.0,0.38680132226723113,0.634,0.38680132226723113,2.0,0.0,0.0,0.38680132226723113,0.0,0.0,0.0,0.0,0.0,11.812112832679617,0.0,1.7
F,1.0,3.0,3.0,7.0,4.0,0.72,4.115530732481536,3.9060625,0.0,1.0171025748173346,0.9831850048945102,0.0,0.0,0.0,-0.19188616381560833,-0.317,-0.19188616381560833,2.0,4.689597072742453,0.0,-0.19188616381560833,0.0,0.0,0.0,0.0,0.0,12.087431523839365,0.0,1.5
F,1.0,3.0,3.0,7.0,4.0,0.72,4.706313196122841,3.9060625,0.0,0.9007854670911614,1.1101422442229498,0.0,0.0,0.0,-0.19188616381560833,-0.317,-0.19188616381560833,2.0,4.689597072742453,0.0,-0.19188616381560833,0.0,0.0,0.0,0.0,0.0,12.087431523839365,0.0,1.5
C,4.0,3.0,3.0,4.0,4.0,0.77,4.433359292906452,6.717249999999998,0.0,0.5934612384266018,1.6850300158629117,0.0,0.0,0.0,0.38413595944886403,0.634,0.38413595944886403,2.0,0.0,0.0,0.38413595944886403,0.0,0.0,0.0,0.0,0.0,11.783781726182967,0.0,1.7
F,1.0,3.0,3.0,7.0,5.0,0.72,5.693847937028175,4.038625,0.0,0.8463359646562904,1.1815638726945923,0.0,0.0,0.0,-0.19200722093929531,-0.317,-0.19200722093929531,2.0,4.6881831878126485,0.0,-0.19200722093929531,0.0,0.0,0.0,0.0,0.0,12.0858622353732,0.0,1.5
F,1.0,3.0,3.0,7.0,5.0,0.72,4.180752612867688,4.038625,0.0,0.9335205541247883,1.0712136927049654,0.0,0.0,0.0,-0.19200722093929531,-0.317,-0.19200722093929531,2.0,4.6881831878126485,0.0,-0.19200722093929531,0.0,0.0,0.0,0.0,0.0,12.0858622353732,0.0,1.5
C,4.0,3.0,3.0,4.0,5.0,0.77,4.843711178425072,6.793,0.0,0.5961981552001872,1.6772946901592258,0.0,0.0,0.0,0.384021987934418,0.634,0.384021987934418,2.0,0.0,0.0,0.384021987934418,0.0,0.0,0.0,0.0,0.0,11.78257087720611,0.0,1.7
