SMILES,AtomDegreeDescriptor-aNeg,AtomHybridizationDescriptor-aHyb,AtomHybridizationVSEPRDescriptor-hybr,AtomValenceDescriptor-val,BondsToAtomDescriptor-bondsToAtom,CovalentRadiusDescriptor-covalentRadius,DistanceToAtomDescriptor-distanceToAtom,EffectiveAtomPolarizabilityDescriptor-effAtomPol,IPAtomicHOSEDescriptor-ipAtomicHOSE,InductiveAtomicHardnessDescriptor-indAtomHardnesss,InductiveAtomicSoftnessDescriptor-indAtomSoftness,IsProtonInAromaticSystemDescriptor-protonInArmaticSystem,IsProtonInConjugatedPiSystemDescriptor-protonInConjSystem,PartialPiChargeDescriptor-pepe,PartialSigmaChargeDescriptor-partialSigmaCharge,PartialTChargeMMFF94Descriptor-partialTCMMFF94,PartialTChargePEOEDescriptor-pepeT,PeriodicTablePositionDescriptor-periodicTablePosition,PiElectronegativityDescriptor-elecPiA,ProtonAffinityHOSEDescriptor-protonAffiHOSE,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge1,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge2,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge3,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge4,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge5,RDFProtonDescriptor_G3R-g3r_1,RDFProtonDescriptor_G3R-g3r_2,RDFProtonDescriptor_G3R-g3r_3,RDFProtonDescriptor_G3R-g3r_4
O,1.0,2.0,2.0,6.0,0.0,0.73,0.0,3.92646875,0.0,1.4558529587416105,0.6868825549967393,0.0,0.0,0.0,-0.12667962271648117,-0.687,-0.12667962271648117,2.0,9.678103790769981,0.0,-0.12610693448931895,0.0,0.0,0.0,0.0,0.0,15.338459764087649,0.0,1.55
N,3.0,2.0,2.0,5.0,1.0,0.75,1.2359297795586932,6.3629375,0.0,0.964711132958348,1.0365797240604413,0.0,0.0,0.004189025929813578,0.057450407062878954,1.27,0.06163943299269253,2.0,9.517804927277226,0.0,0.05762906071084243,0.0,0.0,0.0,0.0,0.0,13.515386969268544,15.4395529215516,1.6
O,1.0,3.0,3.0,6.0,2.0,0.73,2.202054926653738,4.028468749999999,0.0,1.617220540331617,0.6183448546819386,0.0,0.0,-0.004189025929813578,-0.12667962271648117,-1.912,-0.13086864864629474,2.0,6.15013569736413,0.0,-0.12610693448931895,0.0,0.0,0.0,0.0,0.0,15.338459764087649,0.0,1.55
C,3.0,2.0,2.0,4.0,2.0,0.77,2.299453896037057,8.627875,0.0,0.8977719212929327,1.1138686522517243,0.0,0.0,0.0,0.14740612713220674,-0.127,0.14740612713220674,2.0,7.191084006811666,0.0,0.14675430517129456,0.0,0.0,0.0,0.0,0.0,10.190270731586793,0.0,1.7
C,2.0,2.0,2.0,4.0,3.0,0.77,3.394421455859599,7.739125,0.0,1.1915854375771775,0.8392180438469241,0.0,0.0,0.0,0.024404965492764868,0.0,0.024404965492764868,2.0,6.17468684489859,0.0,0.024020099855650876,0.0,0.0,0.0,0.0,0.0,9.01473854810225,0.0,1.7
C,2.0,2.0,2.0,4.0,4.0,0.77,4.58452224446561,7.288750000000002,0.0,1.338933258126058,0.7468632166173678,0.0,0.0,0.0,0.0017657724381907273,0.0,0.0017657724381907273,2.0,5.994008624262322,0.0,0.0016886507738986195,0.0,0.0,0.0,0.0,0.0,8.805742531040302,0.0,1.7
C,2.0,2.0,2.0,4.0,5.0,0.77,4.924099992892103,7.27825,0.0,1.3339726865457355,0.7496405361862818,0.0,0.0,0.0,7.226440983034946E-5,0.0,7.226440983034946E-5,2.0,5.980573066900916,0.0,4.5791164031269696E-5,0.0,0.0,0.0,0.0,0.0,8.790426776814984,0.0,1.7
C,2.0,2.0,2.0,4.0,4.0,0.77,4.249124762818809,7.718125000000001,0.0,1.1718912820911411,0.8533214772411177,0.0,0.0,0.0,0.005843507392188159,0.0,0.005843507392188159,2.0,6.02640525798262,0.0,0.0055309742198665105,0.0,0.0,0.0,0.0,0.0,8.841594873159643,0.0,1.7
C,3.0,2.0,2.0,4.0,3.0,0.77,2.9225083695346368,8.585875,0.0,0.8905230419025284,1.1229355703852235,0.0,0.0,0.0,0.09467813785706429,-0.127,0.09467813785706429,2.0,6.748187695795398,0.0,0.09381506073588773,0.0,0.0,0.0,0.0,0.0,9.677646277145998,0.0,1.7
C,4.0,3.0,3.0,4.0,4.0,0.77,2.936557995340804,6.181937500000001,0.0,0.8940239416148601,1.1185382778381943,0.0,0.0,0.0,0.4194509044808983,1.078,0.4194509044808983,2.0,0.0,0.0,0.4201244104237268,0.0,0.0,0.0,0.0,0.0,12.168570585729514,0.0,1.7
F,1.0,3.0,3.0,7.0,5.0,0.72,4.294379146046609,3.7709687500000006,0.0,1.638171973194081,0.6104365209290062,0.0,0.0,0.0,-0.16590428027768664,-0.317,-0.16590428027768664,2.0,4.99690430296938,0.0,-0.16579816135885359,0.0,0.0,0.0,0.0,0.0,12.427195125195924,0.0,1.5
F,1.0,3.0,3.0,7.0,5.0,0.72,2.79544672995212,3.7709687500000006,0.0,1.5453232792418299,0.6471137874080447,0.0,0.0,0.0,-0.16590428027768664,-0.317,-0.16590428027768664,2.0,4.99690430296938,0.0,-0.16579816135885359,0.0,0.0,0.0,0.0,0.0,12.427195125195924,0.0,1.5
F,1.0,3.0,3.0,7.0,5.0,0.72,2.8117954850948887,3.7709687500000006,0.0,1.4799623439879024,0.6756928674991843,0.0,0.0,0.0,-0.16590428027768664,-0.317,-0.16590428027768664,2.0,4.99690430296938,0.0,-0.16579816135885359,0.0,0.0,0.0,0.0,0.0,12.427195125195924,0.0,1.5
