SMILES,AtomDegreeDescriptor-aNeg,AtomHybridizationDescriptor-aHyb,AtomHybridizationVSEPRDescriptor-hybr,AtomValenceDescriptor-val,BondsToAtomDescriptor-bondsToAtom,CovalentRadiusDescriptor-covalentRadius,DistanceToAtomDescriptor-distanceToAtom,EffectiveAtomPolarizabilityDescriptor-effAtomPol,IPAtomicHOSEDescriptor-ipAtomicHOSE,InductiveAtomicHardnessDescriptor-indAtomHardnesss,InductiveAtomicSoftnessDescriptor-indAtomSoftness,IsProtonInAromaticSystemDescriptor-protonInArmaticSystem,IsProtonInConjugatedPiSystemDescriptor-protonInConjSystem,PartialPiChargeDescriptor-pepe,PartialSigmaChargeDescriptor-partialSigmaCharge,PartialTChargeMMFF94Descriptor-partialTCMMFF94,PartialTChargePEOEDescriptor-pepeT,PeriodicTablePositionDescriptor-periodicTablePosition,PiElectronegativityDescriptor-elecPiA,ProtonAffinityHOSEDescriptor-protonAffiHOSE,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge1,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge2,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge3,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge4,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge5,RDFProtonDescriptor_G3R-g3r_1,RDFProtonDescriptor_G3R-g3r_2,RDFProtonDescriptor_G3R-g3r_3,RDFProtonDescriptor_G3R-g3r_4
O,1.0,2.0,2.0,6.0,0.0,0.73,0.0,3.721875,0.0,1.4088613475214018,0.7097930550506562,0.0,0.0,-0.08482095449396874,-0.25608745022489343,-0.5920000000000001,-0.3409084047188622,2.0,8.444224130357222,0.0,-0.25561940996611454,0.0,0.0,0.0,0.0,0.0,13.575718739460452,0.0,1.55
C,3.0,2.0,2.0,4.0,1.0,0.77,1.2224748831775647,5.601749999999999,0.0,0.864516395046359,1.1567160619855865,0.0,0.0,0.048628985211432316,0.36596648328163944,0.9530000000000001,0.4145954684930718,2.0,9.14194125818133,0.0,0.3657033628035457,0.0,0.0,0.0,0.0,0.0,12.400301155173436,0.0,1.7
O,1.0,3.0,3.0,6.0,2.0,0.73,2.2208666799247543,4.114125,0.0,1.3978438909029425,0.7153874667321014,0.0,0.0,0.036191969282536415,-0.14332690962302602,-1.817,-0.1071349403404896,2.0,5.935211644665432,0.0,-0.14333888767257835,0.0,0.0,0.0,0.0,0.0,12.356620562309992,0.0,1.55
C,4.0,3.0,3.0,4.0,2.0,0.77,2.459480353651966,6.78125,0.0,0.7160483421917306,1.3965537535344756,0.0,0.0,0.0,0.3981314015468644,0.655,0.3981314015468644,2.0,0.0,0.0,0.39787256594541254,0.0,0.0,0.0,0.0,0.0,11.930079003395022,0.0,1.7
F,1.0,3.0,3.0,7.0,3.0,0.72,2.7761311442365257,4.070625,0.0,1.1460222033403091,0.872583443047876,0.0,0.0,0.0,-0.18935949375216274,-0.317,-0.18935949375216274,2.0,4.719145278119772,0.0,-0.1892810653800495,0.0,0.0,0.0,0.0,0.0,12.121218357639664,0.0,1.5
O,2.0,3.0,3.0,6.0,3.0,0.73,3.463133507388937,6.067374999999999,0.0,0.8368474493731508,1.1949609223868225,0.0,0.0,0.0,-0.26185526360351136,-0.486,-0.26185526360351136,2.0,4.514708335888694,0.0,-0.2625306883895082,0.0,0.0,0.0,0.0,0.0,10.883905589668867,0.0,1.55
C,4.0,3.0,3.0,4.0,4.0,0.77,4.737559144749541,5.927187499999998,0.0,0.6899493995695594,1.4493816512107596,0.0,0.0,0.0,0.4320661403164184,0.877,0.4320661403164184,2.0,0.0,0.0,0.43238908944931276,0.0,0.0,0.0,0.0,0.0,12.300817251533326,0.0,1.7
F,1.0,3.0,3.0,7.0,5.0,0.72,4.944083083848814,3.6435937499999995,0.0,1.0377393378681472,0.9636331239541559,0.0,0.0,0.0,-0.16820334366747355,-0.317,-0.16820334366747355,2.0,4.969402288951632,0.0,-0.16816418526788132,0.0,0.0,0.0,0.0,0.0,12.396250970347577,0.0,1.5
F,1.0,3.0,3.0,7.0,5.0,0.72,5.174686245561174,3.6435937499999995,0.0,1.0840219834091573,0.9224905170788923,0.0,0.0,0.0,-0.16820334366747355,-0.317,-0.16820334366747355,2.0,4.969402288951632,0.0,-0.16816418526788132,0.0,0.0,0.0,0.0,0.0,12.396250970347577,0.0,1.5
C,4.0,3.0,3.0,4.0,5.0,0.77,5.895342990021869,5.6025937500000005,0.0,0.7492962912772178,1.33458554598668,0.0,0.0,0.0,0.4296240285255216,0.634,0.4296240285255216,2.0,0.0,0.0,0.42951840038723643,0.0,0.0,0.0,0.0,0.0,12.269812701344707,0.0,1.7
