SMILES,AtomDegreeDescriptor-aNeg,AtomHybridizationDescriptor-aHyb,AtomHybridizationVSEPRDescriptor-hybr,AtomValenceDescriptor-val,BondsToAtomDescriptor-bondsToAtom,CovalentRadiusDescriptor-covalentRadius,DistanceToAtomDescriptor-distanceToAtom,EffectiveAtomPolarizabilityDescriptor-effAtomPol,IPAtomicHOSEDescriptor-ipAtomicHOSE,InductiveAtomicHardnessDescriptor-indAtomHardnesss,InductiveAtomicSoftnessDescriptor-indAtomSoftness,IsProtonInAromaticSystemDescriptor-protonInArmaticSystem,IsProtonInConjugatedPiSystemDescriptor-protonInConjSystem,PartialPiChargeDescriptor-pepe,PartialSigmaChargeDescriptor-partialSigmaCharge,PartialTChargeMMFF94Descriptor-partialTCMMFF94,PartialTChargePEOEDescriptor-pepeT,PeriodicTablePositionDescriptor-periodicTablePosition,PiElectronegativityDescriptor-elecPiA,ProtonAffinityHOSEDescriptor-protonAffiHOSE,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge1,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge2,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge3,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge4,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge5,RDFProtonDescriptor_G3R-g3r_1,RDFProtonDescriptor_G3R-g3r_2,RDFProtonDescriptor_G3R-g3r_3,RDFProtonDescriptor_G3R-g3r_4
C,1.0,3.0,3.0,4.0,0.0,0.77,0.0,4.980796875000002,0.0,3.0046189068468574,0.3328209104060494,0.0,0.0,0.0,8.362553349411897E-5,0.0,8.362553349411897E-5,2.0,0.0,0.0,8.362553349411897E-5,0.0,0.0,0.0,0.0,0.0,7.980767695544748,0.0,1.7
C,2.0,3.0,3.0,4.0,1.0,0.77,1.52024161895404,6.092093750000002,0.0,1.9338775996653657,0.5170958080144462,0.0,0.0,0.0,0.002578883476697118,0.0,0.002578883476697118,2.0,0.0,0.0,0.002578883476697118,0.0,0.0,0.0,0.0,0.0,8.003686653519255,0.0,1.7
C,2.0,3.0,3.0,4.0,2.0,0.77,2.5180178732487186,6.428437500000003,0.0,1.6628855689797795,0.6013642902761639,0.0,0.0,0.0,0.032264781665082995,0.0,0.032264781665082995,2.0,0.0,0.0,0.032264781665082995,0.0,0.0,0.0,0.0,0.0,8.278147806020947,0.0,1.7
C,2.0,3.0,3.0,4.0,3.0,0.77,3.8763346553155085,6.158000000000001,0.0,1.4195837656057693,0.7044318371542357,0.0,0.0,0.0,0.14774590233350937,0.243,0.14774590233350937,2.0,0.0,0.0,0.14774590233350937,0.0,0.0,0.0,0.0,0.0,9.37734562453554,0.0,1.7
O,2.0,3.0,3.0,6.0,4.0,0.73,4.906617149319886,5.545562500000001,0.0,1.299926339058974,0.7692743580562474,0.0,0.0,0.0,-0.3018396368428867,-0.486,-0.3018396368428867,2.0,4.078931049829696,0.0,-0.3018396368428867,0.0,0.0,0.0,0.0,0.0,10.406870853243433,0.0,1.55
C,4.0,3.0,3.0,4.0,5.0,0.77,6.175885330865528,5.24590625,0.0,0.9581063522505232,1.043725467064352,0.0,0.0,0.0,0.42735611215209557,0.877,0.42735611215209557,2.0,0.0,0.0,0.42735611215209557,0.0,0.0,0.0,0.0,0.0,12.246479613152497,0.0,1.7
F,1.0,3.0,3.0,7.0,6.0,0.72,6.421123027944566,3.3029531250000006,0.0,1.6352707936925102,0.6115195133779391,0.0,0.0,0.0,-0.16837526542090775,-0.317,-0.16837526542090775,2.0,4.9673481276978055,0.0,-0.16837526542090775,0.0,0.0,0.0,0.0,0.0,12.393491605233274,0.0,1.5
F,1.0,3.0,3.0,7.0,6.0,0.72,6.425616799187452,3.3029531250000006,0.0,1.6836095761957544,0.5939619340129777,0.0,0.0,0.0,-0.16837526542090775,-0.317,-0.16837526542090775,2.0,4.9673481276978055,0.0,-0.16837526542090775,0.0,0.0,0.0,0.0,0.0,12.393491605233274,0.0,1.5
C,3.0,3.0,3.0,4.0,6.0,0.77,7.352359398859662,4.421203125,0.0,1.1746877509794238,0.8512900548815855,0.0,0.0,0.0,0.40678942601125534,0.634,0.40678942601125534,2.0,0.0,0.0,0.40678942601125534,0.0,0.0,0.0,0.0,0.0,12.025424888558709,0.0,1.7
F,1.0,3.0,3.0,7.0,7.0,0.72,8.525724993219052,2.8906015625000006,0.0,1.972924707451953,0.5068617146021287,0.0,0.0,0.0,-0.18911428174371617,-0.317,-0.18911428174371617,2.0,4.722016776689721,0.0,-0.18911428174371617,0.0,0.0,0.0,0.0,0.0,12.123382526551842,0.0,1.5
F,1.0,3.0,3.0,7.0,7.0,0.72,7.541999276054062,2.8906015625000006,0.0,1.9341773904196466,0.5170156599664502,0.0,0.0,0.0,-0.18911428174371617,-0.317,-0.18911428174371617,2.0,4.722016776689721,0.0,-0.18911428174371617,0.0,0.0,0.0,0.0,0.0,12.123382526551842,0.0,1.5
