SMILES,AtomDegreeDescriptor-aNeg,AtomHybridizationDescriptor-aHyb,AtomHybridizationVSEPRDescriptor-hybr,AtomValenceDescriptor-val,BondsToAtomDescriptor-bondsToAtom,CovalentRadiusDescriptor-covalentRadius,DistanceToAtomDescriptor-distanceToAtom,EffectiveAtomPolarizabilityDescriptor-effAtomPol,IPAtomicHOSEDescriptor-ipAtomicHOSE,InductiveAtomicHardnessDescriptor-indAtomHardnesss,InductiveAtomicSoftnessDescriptor-indAtomSoftness,IsProtonInAromaticSystemDescriptor-protonInArmaticSystem,IsProtonInConjugatedPiSystemDescriptor-protonInConjSystem,PartialPiChargeDescriptor-pepe,PartialSigmaChargeDescriptor-partialSigmaCharge,PartialTChargeMMFF94Descriptor-partialTCMMFF94,PartialTChargePEOEDescriptor-pepeT,PeriodicTablePositionDescriptor-periodicTablePosition,PiElectronegativityDescriptor-elecPiA,ProtonAffinityHOSEDescriptor-protonAffiHOSE,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge1,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge2,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge3,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge4,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge5,RDFProtonDescriptor_G3R-g3r_1,RDFProtonDescriptor_G3R-g3r_2,RDFProtonDescriptor_G3R-g3r_3,RDFProtonDescriptor_G3R-g3r_4
C,1.0,2.0,2.0,4.0,0.0,0.77,0.0,5.066316406250001,0.0,1.6485953870097936,0.6065769732704338,0.0,0.0,0.0,9.881456848051722E-4,0.0,9.881456848051722E-4,2.0,5.987837889558381,0.0,8.241838287005113E-4,0.0,0.0,0.0,0.0,0.0,8.797682418994754,0.0,1.7
C,2.0,2.0,2.0,4.0,1.0,0.77,1.3411726958151213,6.231632812500001,0.0,1.103431140307979,0.906264073461702,0.0,0.0,0.0,0.04536903202998846,-0.135,0.04536903202998846,2.0,6.343769621188445,0.0,0.04468186667757171,0.0,0.0,0.0,0.0,0.0,9.209449665941754,0.0,1.7
C,4.0,3.0,3.0,4.0,2.0,0.77,2.540647425362284,6.8132656250000005,0.0,0.7562942259880936,1.3222367243297493,0.0,0.0,0.0,0.34262570432345574,0.769,0.34262570432345574,2.0,0.0,0.0,0.3427150074920277,0.0,0.0,0.0,0.0,0.0,11.346936492334104,0.0,1.7
F,1.0,3.0,3.0,7.0,3.0,0.72,2.7716500410405356,4.0866328124999995,0.0,1.179387720892112,0.8478975847260648,0.0,0.0,0.0,-0.19373324124141264,-0.317,-0.19373324124141264,2.0,4.668042266961632,0.0,-0.1934376514040533,0.0,0.0,0.0,0.0,0.0,12.067324396759316,0.0,1.5
F,1.0,3.0,3.0,7.0,3.0,0.72,3.405019425788934,4.0866328124999995,0.0,1.200916436885249,0.8326974044868977,0.0,0.0,0.0,-0.19373324124141264,-0.317,-0.19373324124141264,2.0,4.668042266961632,0.0,-0.1934376514040533,0.0,0.0,0.0,0.0,0.0,12.067324396759316,0.0,1.5
C,4.0,3.0,3.0,4.0,3.0,0.77,3.616041773818439,6.947531250000001,0.0,0.6745988264371281,1.4823624957687336,0.0,0.0,0.0,0.3822669535582858,0.634,0.3822669535582858,2.0,0.0,0.0,0.3821620258593297,0.0,0.0,0.0,0.0,0.0,11.762817287725392,0.0,1.7
F,1.0,3.0,3.0,7.0,4.0,0.72,4.120895698752882,4.153765625,0.0,1.0732561133143923,0.9317440521366653,0.0,0.0,0.0,-0.19197351646602692,-0.317,-0.19197351646602692,2.0,4.688576821999072,0.0,-0.1918400754756089,0.0,0.0,0.0,0.0,0.0,12.088028994292923,0.0,1.5
F,1.0,3.0,3.0,7.0,4.0,0.72,3.613339121920333,4.153765625,0.0,1.0657024221323665,0.9383482473457249,0.0,0.0,0.0,-0.19197351646602692,-0.317,-0.19197351646602692,2.0,4.688576821999072,0.0,-0.1918400754756089,0.0,0.0,0.0,0.0,0.0,12.088028994292923,0.0,1.5
C,4.0,3.0,3.0,4.0,4.0,0.77,4.898764605489839,7.007562500000001,0.0,0.6302986844154539,1.5865494006661482,0.0,0.0,0.0,0.38439471541017006,0.634,0.38439471541017006,2.0,0.0,0.0,0.38415613354790656,0.0,0.0,0.0,0.0,0.0,11.78399606366164,0.0,1.7
F,1.0,3.0,3.0,7.0,5.0,0.72,5.402275905579056,4.183781250000001,0.0,0.9717532994821791,1.0290677690859118,0.0,0.0,0.0,-0.1921215574529313,-0.317,-0.1921215574529313,2.0,4.686847949023006,0.0,-0.19199764467541952,0.0,0.0,0.0,0.0,0.0,12.085986371991138,0.0,1.5
