SMILES,AtomDegreeDescriptor-aNeg,AtomHybridizationDescriptor-aHyb,AtomHybridizationVSEPRDescriptor-hybr,AtomValenceDescriptor-val,BondsToAtomDescriptor-bondsToAtom,CovalentRadiusDescriptor-covalentRadius,DistanceToAtomDescriptor-distanceToAtom,EffectiveAtomPolarizabilityDescriptor-effAtomPol,IPAtomicHOSEDescriptor-ipAtomicHOSE,InductiveAtomicHardnessDescriptor-indAtomHardnesss,InductiveAtomicSoftnessDescriptor-indAtomSoftness,IsProtonInAromaticSystemDescriptor-protonInArmaticSystem,IsProtonInConjugatedPiSystemDescriptor-protonInConjSystem,PartialPiChargeDescriptor-pepe,PartialSigmaChargeDescriptor-partialSigmaCharge,PartialTChargeMMFF94Descriptor-partialTCMMFF94,PartialTChargePEOEDescriptor-pepeT,PeriodicTablePositionDescriptor-periodicTablePosition,PiElectronegativityDescriptor-elecPiA,ProtonAffinityHOSEDescriptor-protonAffiHOSE,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge1,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge2,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge3,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge4,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge5,RDFProtonDescriptor_G3R-g3r_1,RDFProtonDescriptor_G3R-g3r_2,RDFProtonDescriptor_G3R-g3r_3,RDFProtonDescriptor_G3R-g3r_4
O,1.0,2.0,2.0,6.0,0.0,0.73,0.0,2.9807041015625018,0.0,1.1912661873197792,0.83944294788547,0.0,0.0,-1.6534878539470586,-0.21839669431383502,0.0,-1.8718845482608937,2.0,8.770135851009023,0.0,-0.21790604363591473,0.0,0.0,0.0,0.0,0.0,14.087392688871674,0.0,1.55
P,4.0,3.0,3.0,5.0,1.0,1.06,1.496175330634749,5.501408203125003,0.0,0.5763986424311907,1.7349104012148642,0.0,0.0,1.5038918827169285,0.4828043949468015,0.0,1.98669627766373,3.0,17.705508618147746,0.0,0.48457550663733945,0.0,0.0,0.0,0.0,0.0,13.302673421402543,0.0,1.95
O,1.0,3.0,3.0,6.0,2.0,0.73,2.561338222492297,3.372954101562501,0.0,1.1917711708179703,0.8390872547400617,0.0,0.0,0.03558497720805055,-0.11101944509598678,0.0,-0.07543446788793623,2.0,6.355781413130768,0.0,-0.11124081663002644,0.0,0.0,0.0,0.0,0.0,12.759969230945533,0.0,1.55
O,2.0,3.0,3.0,6.0,2.0,0.73,2.618715175424773,5.224635253906252,0.0,0.8986860099495829,1.1127356929213807,0.0,0.0,0.05700549701103975,-0.267731656432986,0.0,-0.21072615942194628,2.0,4.449290394065128,0.0,-0.26794390472787843,0.0,0.0,0.0,0.0,0.0,10.817958322068154,0.0,1.55
C,2.0,3.0,3.0,4.0,3.0,0.77,3.2157177892346214,6.16417993164063,0.0,0.8378979373010226,1.193462778081456,0.0,0.0,0.0,0.16128209502607194,0.0,0.16128209502607194,2.0,0.0,0.0,0.16080360374946934,0.0,0.0,0.0,0.0,0.0,9.504789744500304,0.0,1.7
C,2.0,3.0,3.0,4.0,4.0,0.77,3.9480044896124418,6.764814575195315,0.0,0.8262945554852532,1.2102221821039785,0.0,0.0,0.0,0.10693043355952177,0.0,0.10693043355952177,2.0,0.0,0.0,0.10524188365005552,0.0,0.0,0.0,0.0,0.0,8.966943097567029,0.0,1.7
C,4.0,3.0,3.0,4.0,5.0,0.77,5.181754048582391,6.926856506347654,0.0,0.6156493826170019,1.6243011497050495,0.0,0.0,0.0,0.3265962274225479,0.0,0.3265962274225479,2.0,0.0,0.0,0.3266019629392321,0.0,0.0,0.0,0.0,0.0,11.178743443110179,0.0,1.7
F,1.0,3.0,3.0,7.0,6.0,0.72,5.9611750695647245,4.143428253173827,0.0,0.9220777896042871,1.084507198063141,0.0,0.0,0.0,-0.19862989743803314,0.0,-0.19862989743803314,2.0,4.611087410876324,0.0,-0.19812120264580174,0.0,0.0,0.0,0.0,0.0,12.006693488622007,0.0,1.5
F,1.0,3.0,3.0,7.0,6.0,0.72,6.053214916059069,4.143428253173827,0.0,0.8375713095749107,1.1939281928216072,0.0,0.0,0.0,-0.19862989743803314,0.0,-0.19862989743803314,2.0,4.611087410876324,0.0,-0.19812120264580174,0.0,0.0,0.0,0.0,0.0,12.006693488622007,0.0,1.5
C,4.0,3.0,3.0,4.0,6.0,0.77,5.2739053992274085,7.004326690673827,0.0,0.5829884147791593,1.7152999521934036,0.0,0.0,0.0,0.37866729892472495,0.0,0.37866729892472495,2.0,0.0,0.0,0.3785282860455996,0.0,0.0,0.0,0.0,0.0,11.724262952971449,0.0,1.7
F,1.0,3.0,3.0,7.0,7.0,0.72,4.939884865055054,4.182163345336915,0.0,0.841922761183835,1.1877574120859866,0.0,0.0,0.0,-0.192457476461535,0.0,-0.192457476461535,2.0,4.682925896040077,0.0,-0.19223734962342076,0.0,0.0,0.0,0.0,0.0,12.08287921645907,0.0,1.5
F,1.0,3.0,3.0,7.0,7.0,0.72,4.74108191660933,4.182163345336915,0.0,0.9038035170062866,1.1064351722289705,0.0,0.0,0.0,-0.192457476461535,0.0,-0.192457476461535,2.0,4.682925896040077,0.0,-0.19223734962342076,0.0,0.0,0.0,0.0,0.0,12.08287921645907,0.0,1.5
C,4.0,3.0,3.0,4.0,7.0,0.77,6.76241959508577,7.035960220336916,0.0,0.5775837053542892,1.7313507821114884,0.0,0.0,0.0,0.38414074381272345,0.0,0.38414074381272345,2.0,0.0,0.0,0.3837995223339348,0.0,0.0,0.0,0.0,0.0,11.780207512911783,0.0,1.7
F,1.0,3.0,3.0,7.0,8.0,0.72,7.0778975162119995,4.197980110168458,0.0,0.9048363911695785,1.1051721722945012,0.0,0.0,0.0,-0.19219981295976366,0.0,-0.19219981295976366,2.0,4.685934155195719,0.0,-0.19201256308395181,0.0,0.0,0.0,0.0,0.0,12.085792985609846,0.0,1.5
F,1.0,3.0,3.0,7.0,8.0,0.72,7.319679498448004,4.197980110168458,0.0,0.9055420724559506,1.1043109209579482,0.0,0.0,0.0,-0.19219981295976366,0.0,-0.19219981295976366,2.0,4.685934155195719,0.0,-0.19201256308395181,0.0,0.0,0.0,0.0,0.0,12.085792985609846,0.0,1.5
C,4.0,3.0,3.0,4.0,8.0,0.77,7.778602417529771,7.0375738601684565,0.0,0.5414716908646824,1.8468186183530453,0.0,0.0,0.0,0.38438507734219474,0.0,0.38438507734219474,2.0,0.0,0.0,0.3840148436011844,0.0,0.0,0.0,0.0,0.0,11.782494976458231,0.0,1.7
F,1.0,3.0,3.0,7.0,9.0,0.72,9.001362841814565,4.19878693008423,0.0,0.7842134701899903,1.2751629983577448,0.0,0.0,0.0,-0.19219496654270804,0.0,-0.19219496654270804,2.0,4.68599074505159,0.0,-0.1920091367758603,0.0,0.0,0.0,0.0,0.0,12.085837400532833,0.0,1.5
F,1.0,3.0,3.0,7.0,9.0,0.72,8.014420493710071,4.19878693008423,0.0,0.7428179959302248,1.3462247892200139,0.0,0.0,0.0,-0.19219496654270804,0.0,-0.19219496654270804,2.0,4.68599074505159,0.0,-0.1920091367758603,0.0,0.0,0.0,0.0,0.0,12.085837400532833,0.0,1.5
C,4.0,3.0,3.0,4.0,9.0,0.77,7.745601167759672,7.009974430084229,0.0,0.5508911276708024,1.8152407068671705,0.0,0.0,0.0,0.384389834143834,0.0,0.384389834143834,2.0,0.0,0.0,0.38401823320674816,0.0,0.0,0.0,0.0,0.0,11.782530987296186,0.0,1.7
F,1.0,3.0,3.0,7.0,10.0,0.72,7.457387696103776,4.1849872150421135,0.0,0.8446564610112774,1.1839132785449071,0.0,0.0,0.0,-0.19219492609435504,0.0,-0.19219492609435504,2.0,4.6859912173534735,0.0,-0.19200912025663264,0.0,0.0,0.0,0.0,0.0,12.085837614670226,0.0,1.5
F,1.0,3.0,3.0,7.0,10.0,0.72,6.930162508917089,4.1849872150421135,0.0,0.7859795851120389,1.2722976766088054,0.0,0.0,0.0,-0.19219492609435504,0.0,-0.19219492609435504,2.0,4.6859912173534735,0.0,-0.19200912025663264,0.0,0.0,0.0,0.0,0.0,12.085837614670226,0.0,1.5
C,4.0,3.0,3.0,4.0,10.0,0.77,9.158850966141985,6.939362215042115,0.0,0.5686364827584889,1.7585927570966629,0.0,0.0,0.0,0.384392464472267,0.0,0.384392464472267,2.0,0.0,0.0,0.38402011422384846,0.0,0.0,0.0,0.0,0.0,11.782550971056505,0.0,1.7
F,1.0,3.0,3.0,7.0,11.0,0.72,10.006602039153952,4.149681107521054,0.0,0.8018484888901297,1.2471183943791422,0.0,0.0,0.0,-0.19219490361519925,0.0,-0.19219490361519925,2.0,4.685991479835063,0.0,-0.19200911104392207,0.0,0.0,0.0,0.0,0.0,12.085837734093836,0.0,1.5
F,1.0,3.0,3.0,7.0,11.0,0.72,9.195385722197845,4.149681107521054,0.0,0.9332785028176084,1.0714915183205833,0.0,0.0,0.0,-0.19219490361519925,0.0,-0.19219490361519925,2.0,4.685991479835063,0.0,-0.19200911104392207,0.0,0.0,0.0,0.0,0.0,12.085837734093836,0.0,1.5
C,4.0,3.0,3.0,4.0,11.0,0.77,9.956423599365385,6.790431107521054,0.0,0.5748305690067002,1.7396430425194456,0.0,0.0,0.0,0.38452278242264115,0.0,0.38452278242264115,2.0,0.0,0.0,0.38413595023615005,0.0,0.0,0.0,0.0,0.0,11.783781628303858,0.0,1.7
F,1.0,3.0,3.0,7.0,12.0,0.72,9.254824145276885,4.075215553760531,0.0,0.8671907232839526,1.153148866967942,0.0,0.0,0.0,-0.19219225143906807,0.0,-0.19219225143906807,2.0,4.686022448449595,0.0,-0.19200722093929531,0.0,0.0,0.0,0.0,0.0,12.0858622353732,0.0,1.5
F,1.0,3.0,3.0,7.0,12.0,0.72,10.909247310882634,4.075215553760531,0.0,0.8864306415238431,1.1281198473474725,0.0,0.0,0.0,-0.19219225143906807,0.0,-0.19219225143906807,2.0,4.686022448449595,0.0,-0.19200722093929531,0.0,0.0,0.0,0.0,0.0,12.0858622353732,0.0,1.5
C,4.0,3.0,3.0,4.0,12.0,0.77,10.857498793921184,6.488715553760529,0.0,0.5866245931640484,1.7046677068316365,0.0,0.0,0.0,0.38726441341798007,0.0,0.38726441341798007,2.0,0.0,0.0,0.38680132226723113,0.0,0.0,0.0,0.0,0.0,11.812112832679617,0.0,1.7
F,1.0,3.0,3.0,7.0,13.0,0.72,10.2274782297495,3.9243577768802647,0.0,0.8153443138951803,1.2264757145636498,0.0,0.0,0.0,-0.19205463971691172,0.0,-0.19205463971691172,2.0,4.687629406260586,0.0,-0.19188616381560833,0.0,0.0,0.0,0.0,0.0,12.087431523839365,0.0,1.5
F,1.0,3.0,3.0,7.0,13.0,0.72,11.621014672566247,3.9243577768802647,0.0,0.9643160940092337,1.0370043663197688,0.0,0.0,0.0,-0.19205463971691172,0.0,-0.19205463971691172,2.0,4.687629406260586,0.0,-0.19188616381560833,0.0,0.0,0.0,0.0,0.0,12.087431523839365,0.0,1.5
