,0,1,2,3,4,5,NMR_Peaks
4_COOH_1,F-1;C(//),F-1;C(CCF//),"F-1;C(CCF/=OO,FFF,/)","F-1;C(CCF/=OO,FFF,/,,,,)","F-1;C(CCF/=OO,FFF,/,,,,)/","F-1;C(CCF/=OO,FFF,/,,,,)//",-122.45
7_COOH_1,F-1;C(//),F-1;C(CFF//),"F-1;C(CFF/CFF,,/)","F-1;C(CFF/CFF,,/=OO,,)","F-1;C(CFF/CFF,,/=OO,,),/","F-1;C(CFF/CFF,,/=OO,,),//",-83.4
4_COOH_2,F-1;C(//),F-1;C(CCF//),"F-1;C(CCF/CFF,=OO,/)","F-1;C(CCF/CFF,=OO,/FFF,,,,)","F-1;C(CCF/CFF,=OO,/FFF,,,,),,/","F-1;C(CCF/CFF,=OO,/FFF,,,,),,//",-119.78
7_COOH_2,F-1;C(//),F-1;C(CCF//),"F-1;C(CCF/CFF,FFF,/)","F-1;C(CCF/CFF,FFF,/=OO,,,,,)","F-1;C(CCF/CFF,FFF,/=OO,,,,,),/","F-1;C(CCF/CFF,FFF,/=OO,,,,,),//",-127.39
10_COOH_2,F-1;C(//),F-1;C(CFF//),"F-1;C(CFF/CFF,,/)","F-1;C(CFF/CFF,,/CFF,,)","F-1;C(CFF/CFF,,/CFF,,)=OO,,/","F-1;C(CFF/CFF,,/CFF,,)=OO,,/,/",-81.14
4_COOH_3,F-1;C(//),F-1;C(CCF//),"F-1;C(CCF/CFF,=OO,/)","F-1;C(CCF/CFF,=OO,/CFF,,,,)","F-1;C(CCF/CFF,=OO,/CFF,,,,)FFF,,/","F-1;C(CCF/CFF,=OO,/CFF,,,,)FFF,,/,,/",-119.41
7_COOH_3,F-1;C(//),F-1;C(CCF//),"F-1;C(CCF/CFF,CFF,/)","F-1;C(CCF/CFF,CFF,/FFF,,,=OO,,)","F-1;C(CCF/CFF,CFF,/FFF,,,=OO,,),,,,/","F-1;C(CCF/CFF,CFF,/FFF,,,=OO,,),,,,//",-123.99
10_COOH_3,F-1;C(//),F-1;C(CCF//),"F-1;C(CCF/CFF,FFF,/)","F-1;C(CCF/CFF,FFF,/CFF,,,,,)","F-1;C(CCF/CFF,FFF,/CFF,,,,,)=OO,,/","F-1;C(CCF/CFF,FFF,/CFF,,,,,)=OO,,/,/",-126.26
13_COOH_3,F-1;C(//),F-1;C(CFF//),"F-1;C(CFF/CFF,,/)","F-1;C(CFF/CFF,,/CFF,,)","F-1;C(CFF/CFF,,/CFF,,)CFF,,/","F-1;C(CFF/CFF,,/CFF,,)CFF,,/=OO,,/",-81.19
4_COOH_4,F-1;C(//),F-1;C(CCF//),"F-1;C(CCF/CFF,=OO,/)","F-1;C(CCF/CFF,=OO,/CFF,,,,)","F-1;C(CCF/CFF,=OO,/CFF,,,,)CFF,,/","F-1;C(CCF/CFF,=OO,/CFF,,,,)CFF,,/FFF,,/",-119.23
7_COOH_4,F-1;C(//),F-1;C(CCF//),"F-1;C(CCF/CFF,CFF,/)","F-1;C(CCF/CFF,CFF,/CFF,,,=OO,,)","F-1;C(CCF/CFF,CFF,/CFF,,,=OO,,)FFF,,,,/","F-1;C(CCF/CFF,CFF,/CFF,,,=OO,,)FFF,,,,/,,/",-122.87
10_COOH_4,F-1;C(//),F-1;C(CCF//),"F-1;C(CCF/C,C,FF,FF,/)","F-1;C(CCF/C,CFF,FF,/CFF,FFF,,,,)","F-1;C(CCF/C,CFF,FF,/CFF,FFF,,,,)=OO,,,,,/","F-1;C(CCF/C,CFF,FF,/CFF,FFF,,,,)=OO,,,,,/,/",-123.25
13_COOH_4,F-1;C(//),F-1;C(CCF//),"F-1;C(CCF/CFF,FFF,/)","F-1;C(CCF/CFF,FFF,/CFF,,,,,)","F-1;C(CCF/CFF,FFF,/CFF,,,,,)CFF,,/","F-1;C(CCF/CFF,FFF,/CFF,,,,,)CFF,,/=OO,,/",-126.44
16_COOH_4,F-1;C(//),F-1;C(CFF//),"F-1;C(CFF/CFF,,/)","F-1;C(CFF/CFF,,/CFF,,)","F-1;C(CFF/CFF,,/CFF,,)CFF,,/","F-1;C(CFF/CFF,,/CFF,,)CFF,,/CFF,,/",-81.06
17_COOH_4,F-1;C(//),F-1;C(CFF//),"F-1;C(CFF/CFF,,/)","F-1;C(CFF/CFF,,/CFF,,)","F-1;C(CFF/CFF,,/CFF,,)CFF,,/","F-1;C(CFF/CFF,,/CFF,,)CFF,,/CFF,,/",-81.06
4_COOH_5,F-1;C(//),F-1;C(CCF//),"F-1;C(CCF/CFF,=OO,/)","F-1;C(CCF/CFF,=OO,/CFF,,,,)","F-1;C(CCF/CFF,=OO,/CFF,,,,)CFF,,/","F-1;C(CCF/CFF,=OO,/CFF,,,,)CFF,,/CFF,,/",-119.14
7_COOH_5,F-1;C(//),F-1;C(CCF//),"F-1;C(CCF/CFF,CFF,/)","F-1;C(CCF/CFF,CFF,/CFF,,,=OO,,)","F-1;C(CCF/CFF,CFF,/CFF,,,=OO,,)CFF,,,,/","F-1;C(CCF/CFF,CFF,/CFF,,,=OO,,)CFF,,,,/FFF,,/",-122.01
10_COOH_5,F-1;C(//),F-1;C(CCF//),"F-1;C(CCF/C,C,FF,FF,/)","F-1;C(CCF/C,C,FF,FF,/CFF,CFF,,,,)","F-1;C(CCF/C,C,FF,FF,/CFF,CFF,,,,)FFF,,,=OO,,/","F-1;C(CCF/C,C,FF,FF,/CFF,CFF,,,,)FFF,,,=OO,,/,,,,/",-122.99
13_COOH_5,F-1;C(//),F-1;C(CCF//),"F-1;C(CCF/C,C,FF,FF,/)","F-1;C(CCF/C,CFF,FF,/CFF,FFF,,,,)","F-1;C(CCF/C,CFF,FF,/CFF,FFF,,,,)CFF,,,,,/","F-1;C(CCF/C,CFF,FF,/CFF,FFF,,,,)CFF,,,,,/=OO,,/",-122.99
16_COOH_5,F-1;C(//),F-1;C(CCF//),"F-1;C(CCF/CFF,FFF,/)","F-1;C(CCF/CFF,FFF,/CFF,,,,,)","F-1;C(CCF/CFF,FFF,/CFF,,,,,)CFF,,/","F-1;C(CCF/CFF,FFF,/CFF,,,,,)CFF,,/CFF,,/",-126.29
17_COOH_5,F-1;C(//),F-1;C(CCF//),"F-1;C(CCF/CFF,FFF,/)","F-1;C(CCF/CFF,FFF,/CFF,,,,,)","F-1;C(CCF/CFF,FFF,/CFF,,,,,)CFF,,/","F-1;C(CCF/CFF,FFF,/CFF,,,,,)CFF,,/CFF,,/",-126.29
19_COOH_5,F-1;C(//),F-1;C(CFF//),"F-1;C(CFF/CFF,,/)","F-1;C(CFF/CFF,,/CFF,,)","F-1;C(CFF/CFF,,/CFF,,)CFF,,/","F-1;C(CFF/CFF,,/CFF,,)CFF,,/CFF,,/",-80.96
4_COOH_6,F-1;C(//),F-1;C(CCF//),"F-1;C(CCF/CFF,=OO,/)","F-1;C(CCF/CFF,=OO,/CFF,,,,)","F-1;C(CCF/CFF,=OO,/CFF,,,,)CFF,,/","F-1;C(CCF/CFF,=OO,/CFF,,,,)CFF,,/CFF,,/",-119.16
7_COOH_6,F-1;C(//),F-1;C(CCF//),"F-1;C(CCF/CFF,CFF,/)","F-1;C(CCF/CFF,CFF,/CFF,,,=OO,,)","F-1;C(CCF/CFF,CFF,/CFF,,,=OO,,)CFF,,,,/","F-1;C(CCF/CFF,CFF,/CFF,,,=OO,,)CFF,,,,/CFF,,/",-121.84
10_COOH_6,F-1;C(//),F-1;C(CCF//),"F-1;C(CCF/C,C,FF,FF,/)","F-1;C(CCF/C,C,FF,FF,/CFF,CFF,,,,)","F-1;C(CCF/C,C,FF,FF,/CFF,CFF,,,,)CFF,,,=OO,,/","F-1;C(CCF/C,C,FF,FF,/CFF,CFF,,,,)CFF,,,=OO,,/FFF,,,,/",-122.19
13_COOH_6,F-1;C(//),F-1;C(CCF//),"F-1;C(CCF/C,C,FF,FF,/)","F-1;C(CCF/C,C,FF,FF,/C,C,FF,FF,,,,)","F-1;C(CCF/C,C,FF,FF,/C,CFF,FF,,,,)CFF,FFF,,,,/","F-1;C(CCF/C,C,FF,FF,/C,CFF,FF,,,,)CFF,FFF,,,,/=OO,,,,,/",-122.88
16_COOH_6,F-1;C(//),F-1;C(CCF//),"F-1;C(CCF/C,C,FF,FF,/)","F-1;C(CCF/C,CFF,FF,/CFF,FFF,,,,)","F-1;C(CCF/C,CFF,FF,/CFF,FFF,,,,)CFF,,,,,/","F-1;C(CCF/C,CFF,FF,/CFF,FFF,,,,)CFF,,,,,/CFF,,/",-123
17_COOH_6,F-1;C(//),F-1;C(CCF//),"F-1;C(CCF/C,C,FF,FF,/)","F-1;C(CCF/C,CFF,FF,/CFF,FFF,,,,)","F-1;C(CCF/C,CFF,FF,/CFF,FFF,,,,)CFF,,,,,/","F-1;C(CCF/C,CFF,FF,/CFF,FFF,,,,)CFF,,,,,/CFF,,/",-123.0
19_COOH_6,F-1;C(//),F-1;C(CCF//),"F-1;C(CCF/CFF,FFF,/)","F-1;C(CCF/CFF,FFF,/CFF,,,,,)","F-1;C(CCF/CFF,FFF,/CFF,,,,,)CFF,,/","F-1;C(CCF/CFF,FFF,/CFF,,,,,)CFF,,/CFF,,/",-126.27
22_COOH_6,F-1;C(//),F-1;C(CFF//),"F-1;C(CFF/CFF,,/)","F-1;C(CFF/CFF,,/CFF,,)","F-1;C(CFF/CFF,,/CFF,,)CFF,,/","F-1;C(CFF/CFF,,/CFF,,)CFF,,/CFF,,/",-80.95
4_COOH_7,F-1;C(//),F-1;C(CCF//),"F-1;C(CCF/CFF,=OO,/)","F-1;C(CCF/CFF,=OO,/CFF,,,,)","F-1;C(CCF/CFF,=OO,/CFF,,,,)CFF,,/","F-1;C(CCF/CFF,=OO,/CFF,,,,)CFF,,/CFF,,/",-119.15
7_COOH_7,F-1;C(//),F-1;C(CCF//),"F-1;C(CCF/CFF,CFF,/)","F-1;C(CCF/CFF,CFF,/CFF,,,=OO,,)","F-1;C(CCF/CFF,CFF,/CFF,,,=OO,,)CFF,,,,/","F-1;C(CCF/CFF,CFF,/CFF,,,=OO,,)CFF,,,,/CFF,,/",-121.81
10_COOH_7,F-1;C(//),F-1;C(CCF//),"F-1;C(CCF/C,C,FF,FF,/)","F-1;C(CCF/C,C,FF,FF,/CFF,CFF,,,,)","F-1;C(CCF/C,C,FF,FF,/CFF,CFF,,,,)CFF,,,=OO,,/","F-1;C(CCF/C,C,FF,FF,/CFF,CFF,,,,)CFF,,,=OO,,/CFF,,,,/",-122.04
13_COOH_7,F-1;C(//),F-1;C(CCF//),"F-1;C(CCF/C,C,FF,FF,/)","F-1;C(CCF/C,C,FF,FF,/C,C,FF,FF,,,,)","F-1;C(CCF/C,C,FF,FF,/C,C,FF,FF,,,,)CFF,CFF,,,,/","F-1;C(CCF/C,C,FF,FF,/C,C,FF,FF,,,,)CFF,CFF,,,,/FFF,,,=OO,,/",-122.04
16_COOH_7,F-1;C(//),F-1;C(CCF//),"F-1;C(CCF/C,C,FF,FF,/)","F-1;C(CCF/C,C,FF,FF,/C,C,FF,FF,,,,)","F-1;C(CCF/C,C,FF,FF,/C,CFF,FF,,,,)CFF,FFF,,,,/","F-1;C(CCF/C,C,FF,FF,/C,CFF,FF,,,,)CFF,FFF,,,,/CFF,,,,,/",-122.85
